,Name,BondingProfile,MatrixDistance,Unaverageness,BondDiff,Composition,CompDiff,FormationEnergy
0,Spinel-113_virtual_325_stropt,"[[0.         0.         5.95294118]
 [0.         0.         3.86046512]
 [1.9765625  1.296875   0.        ]]",5.960294448011729,59.49988859418122,65.46018304219295,[0.59953162 0.19906323 0.20140515],0.3268751373024999,-7.190170764923096
1,Spinel-113_virtual_374_stropt,"[[0.         0.         5.92941176]
 [0.         0.         3.87209302]
 [1.96875    1.30078125 0.        ]]",5.944925966608864,59.38284387042086,65.32776983702972,[0.59953162 0.19906323 0.20140515],0.3268751373024999,-7.184932231903076
2,Spinel-113_virtual_318_stropt,"[[0.         0.         5.92941176]
 [0.         0.         3.79069767]
 [1.96875    1.2734375  0.        ]]",5.903159432586563,59.19168815077655,65.0948475833631,[0.59953162 0.19906323 0.20140515],0.3268751373024999,-7.1797027587890625
3,Spinel-113_virtual_256_stropt,"[[0.         0.         5.96470588]
 [0.         0.         3.86046512]
 [1.98046875 1.296875   0.        ]]",5.971000884644935,59.45189097926638,65.42289186391132,[0.59953162 0.19906323 0.20140515],0.3268751373024999,-7.190189361572266
4,Spinel-113_virtual_362_stropt,"[[0.         0.         6.        ]
 [0.         0.         3.8255814 ]
 [1.9921875  1.28515625 0.        ]]",5.985393695044454,59.54325600672481,65.52864970176927,[0.59953162 0.19906323 0.20140515],0.3268751373024999,-7.184338092803955
5,Spinel-113_virtual_278_stropt,"[[0.         0.         5.96470588]
 [0.         0.         3.77906977]
 [1.98046875 1.26953125 0.        ]]",5.92959565574602,59.21031279271015,65.13990844845617,[0.59953162 0.19906323 0.20140515],0.3268751373024999,-7.183533191680908
6,Spinel-113_virtual_75_stropt,"[[0.         0.         5.95294118]
 [0.         0.         3.90697674]
 [1.9765625  1.3125     0.        ]]",5.984421452919531,59.75703425304821,65.74145570596774,[0.59953162 0.19906323 0.20140515],0.3268751373024999,-7.182131290435791
7,Spinel-113_virtual_311_stropt,"[[0.         0.         6.        ]
 [0.         0.         3.88372093]
 [1.9921875  1.3046875  0.        ]]",6.015098817425192,59.822506934116106,65.8376057515413,[0.59953162 0.19906323 0.20140515],0.3268751373024999,-7.188037872314453
8,Spinel-113_virtual_335_stropt,"[[0.         0.         5.98823529]
 [0.         0.         3.94186047]
 [1.98828125 1.32421875 0.        ]]",6.034629199262832,59.8813388092799,65.91596800854273,[0.59953162 0.19906323 0.20140515],0.3268751373024999,-7.192751407623291
9,Spinel-113_virtual_337_stropt,"[[0.         0.         5.97647059]
 [0.         0.         3.84883721]
 [1.984375   1.29296875 0.        ]]",5.975751445325221,59.83436587197338,65.8101173172986,[0.59953162 0.19906323 0.20140515],0.3268751373024999,-7.182129383087158
10,Spinel-113_virtual_112_stropt,"[[0.        0.        6.       ]
 [0.        0.        3.8372093]
 [1.9921875 1.2890625 0.       ]]",5.991296273460479,59.61598725075657,65.60728352421705,[0.59953162 0.19906323 0.20140515],0.3268751373024999,-7.183265686035156
11,Spinel-113_virtual_253_stropt,"[[0.         0.         5.95294118]
 [0.         0.         3.97674419]
 [1.9765625  1.3359375  0.        ]]",6.021180405493009,59.87405734305949,65.8952377485525,[0.59953162 0.19906323 0.20140515],0.3268751373024999,-7.192408084869385
12,Spinel-113_virtual_303_stropt,"[[0.         0.         5.96470588]
 [0.         0.         3.84883721]
 [1.98046875 1.29296875 0.        ]]",5.965027774008114,59.71482848514743,65.67985625915554,[0.59953162 0.19906323 0.20140515],0.3268751373024999,-7.1802263259887695
13,Spinel-113_virtual_187_stropt,"[[0.         0.         5.97647059]
 [0.         0.         3.79069767]
 [1.984375   1.2734375  0.        ]]",5.946229330246698,59.6725928655792,65.6188221958259,[0.59953162 0.19906323 0.20140515],0.3268751373024999,-7.18093729019165
