File,Total Energy (eV),Density,PBE Bandgap (eV),GLLB-SC Bandgap (eV),HSE Bandgap (eV),SCAN Bandgap (eV)
Verkelis_virtual_37_stropt.cif,-3.5231106,5.432800364676936,-0.008701324462890625,0.32127678394317627,-0.0077828168869018555,0.014856100082397461
Verkelis_virtual_331_stropt.cif,-3.5209424,5.542712784157193,-0.008670806884765625,0.41306328773498535,-0.007531642913818359,0.04805493354797363
Verkelis_virtual_160_stropt.cif,-3.526099,5.331382720603864,-0.008753657341003418,0.33667099475860596,-0.00737309455871582,0.19336485862731934
Verkelis_virtual_275_stropt.cif,-3.5182743,5.426175953131066,0.0013138055801391602,0.8113610148429871,-0.007840991020202637,0.023236632347106934
Verkelis_virtual_132_stropt.cif,-3.522394,5.415321570201474,-0.00889742374420166,0.5430355072021484,-0.007579684257507324,0.12996160984039307
Verkelis_virtual_128_stropt.cif,-3.5210693,5.35174551529759,-0.008763313293457031,0.44285476207733154,-0.007768034934997559,0.09510290622711182
Verkelis_virtual_53_stropt.cif,-3.5228255,5.531834676366956,-0.0094146728515625,0.442447304725647,-0.007479310035705566,0.06272053718566895
Verkelis_virtual_102_stropt.cif,-3.5285141,5.408338757508712,-0.006703019142150879,0.2918076515197754,-0.007354259490966797,0.08062899112701416
Verkelis_virtual_302_stropt.cif,-3.5246482,5.403502555928919,-0.00888669490814209,0.3630944490432739,-0.007446765899658203,0.09250915050506592
Verkelis_virtual_384_stropt.cif,-3.5277467,5.544136883163624,-0.005276918411254883,0.6725336909294128,-0.007215380668640137,0.1416008472442627
Verkelis_virtual_86_stropt.cif,-3.532782,5.379599017721013,-0.008887887001037598,0.23125815391540527,-0.0075730085372924805,0.46843957901000977
Verkelis_virtual_350_stropt.cif,-3.525038,5.353170277979565,-0.008864879608154297,0.2628202438354492,-0.007776498794555664,0.15085339546203613
Verkelis_virtual_272_stropt.cif,-3.522237,5.42051306905625,-0.009083151817321777,0.4188753366470337,-0.007668614387512207,0.025951862335205078
Verkelis_virtual_372_stropt.cif,-3.521758,5.459469915341197,-0.008377552032470703,0.5100829601287842,-0.007506847381591797,0.03936457633972168
Verkelis_virtual_190_stropt.cif,-3.5317087,5.315790126774243,-0.008450031280517578,0.28094756603240967,-0.007311344146728516,0.23018789291381836
Verkelis_virtual_343_stropt.cif,-3.5301957,5.354556981088904,-0.00829625129699707,0.32177042961120605,-0.007174015045166016,0.18704628944396973
Verkelis_virtual_12_stropt.cif,-3.532878,5.304153360247477,-0.008687973022460938,0.2892352342605591,-0.007454514503479004,0.5422946214675903
Verkelis_virtual_152_stropt.cif,-3.521583,5.531171970506031,-0.00748753547668457,0.41441071033477783,-0.007530927658081055,0.037738680839538574
Verkelis_virtual_164_stropt.cif,-3.5292919,5.367110277825714,-0.008603930473327637,0.3137630224227905,-0.007248997688293457,0.257373571395874
