File,Total Energy (eV),Density,PBE Bandgap (eV),GLLB-SC Bandgap (eV),HSE Bandgap (eV),SCAN Bandgap (eV)
DoublePerov_virtual_24_stropt,-3.050219,4.429146091089148,0.8755397200584412,2.602384567260742,1.2368625402450562,1.1992919445037842
DoublePerov_virtual_404_stropt,-3.0509014,4.448504664403537,0.9701219797134399,2.6246070861816406,1.251947045326233,1.2122305631637573
DoublePerov_virtual_375_stropt,-3.05156,4.438536882657526,0.985113263130188,2.6450142860412598,1.2584147453308105,1.2490545511245728
DoublePerov_virtual_398_stropt,-3.0501199,4.428884731622974,0.8927599787712097,2.598487377166748,1.2348790168762207,1.1997510194778442
DoublePerov_virtual_194_stropt,-3.051391,4.449985424309493,0.9687599539756775,2.6288304328918457,1.2638545036315918,1.239942193031311
DoublePerov_virtual_579_stropt,-3.0512862,4.43807556745748,0.9445006847381592,2.6437439918518066,1.2425117492675781,1.2100028991699219
DoublePerov_virtual_304_stropt,-3.050093,4.428943226594142,0.881963849067688,2.6012415885925293,1.2334197759628296,1.1912916898727417
DoublePerov_virtual_68_stropt,-3.0637093,4.233138103800861,0.4053131341934204,2.430495262145996,0.7209150791168213,1.3804794549942017
DoublePerov_virtual_648_stropt,-3.050961,4.448560269532937,0.9823220372200012,2.6223320960998535,1.2579692602157593,1.2230955362319946
DoublePerov_virtual_79_stropt,-3.051352,4.4494534210311,1.004702091217041,2.6178712844848633,1.275054931640625,1.2529957294464111
DoublePerov_virtual_678_stropt,-3.0500178,4.428632895452473,0.8757217526435852,2.599271059036255,1.2327029705047607,1.1823863983154297
DoublePerov_virtual_428_stropt,-3.0512047,4.449369878264026,0.9775943756103516,2.6255106925964355,1.2576208114624023,1.239342451095581
DoublePerov_virtual_486_stropt,-3.0511932,4.449410909356813,0.9705454707145691,2.6254191398620605,1.259737491607666,1.2258334159851074
DoublePerov_virtual_601_stropt,-3.051527,4.398873283107619,0.8430638313293457,2.666421890258789,1.2057743072509766,1.2416276931762695
DoublePerov_virtual_681_stropt,-3.050554,4.4186546076611695,0.882950484752655,2.6226871013641357,1.227188229560852,1.2185232639312744
DoublePerov_virtual_576_stropt,-3.0501108,4.429133101001511,0.8559823632240295,2.6042964458465576,1.2302677631378174,1.1736137866973877
DoublePerov_virtual_349_stropt,-3.0512886,4.449596999690079,0.9799606800079346,2.6292977333068848,1.266318917274475,1.2341926097869873
DoublePerov_virtual_620_stropt,-3.050867,4.448153409321424,0.9990023970603943,2.6219522953033447,1.2612385749816895,1.224669098854065
DoublePerov_virtual_353_stropt,-3.0516682,4.438647883943265,0.9994227886199951,2.6462512016296387,1.2663946151733398,1.2591148614883423
DoublePerov_virtual_143_stropt,-3.0497513,4.439153268280579,0.894562840461731,2.5706937313079834,1.2468938827514648,1.1975772380828857
DoublePerov_virtual_0_stropt,-3.0517416,4.439269167186675,0.9851147532463074,2.6482996940612793,1.25773024559021,1.253740668296814
DoublePerov_virtual_406_stropt,-3.0492918,4.437921070005397,0.9002169370651245,2.578782796859741,1.2382949590682983,1.159568428993225
DoublePerov_virtual_563_stropt,-3.0500739,4.428760268026302,0.8781917095184326,2.6016719341278076,1.235324501991272,1.1890631914138794
DoublePerov_virtual_282_stropt,-3.0511723,4.449128157706598,0.9949262142181396,2.624099016189575,1.2650821208953857,1.238993763923645
DoublePerov_virtual_27_stropt,-3.05112,4.449154233149623,0.974790096282959,2.6232821941375732,1.2613493204116821,1.2288180589675903
DoublePerov_virtual_202_stropt,-3.050131,4.428840749085199,0.8900148272514343,2.5992727279663086,1.2364840507507324,1.2024147510528564
DoublePerov_virtual_369_stropt,-3.0502489,4.4290516743063355,0.8855112791061401,2.5994396209716797,1.239851474761963,1.2091059684753418
DoublePerov_virtual_366_stropt,-3.051432,4.449820807431768,0.9882862567901611,2.624415636062622,1.2737258672714233,1.2467865943908691
DoublePerov_virtual_647_stropt,-3.0501428,4.4290393969286415,0.871123194694519,2.60333514213562,1.2332870960235596,1.182598352432251
DoublePerov_virtual_414_stropt,-3.049757,4.439561889120257,0.8788482546806335,2.5786757469177246,1.243086338043213,1.179116129875183
DoublePerov_virtual_564_stropt,-3.0497696,4.439577717067733,0.8970227241516113,2.5827298164367676,1.2454172372817993,1.1893330812454224
DoublePerov_virtual_545_stropt,-3.0499544,4.428260833938045,0.8812933564186096,2.601104259490967,1.235575795173645,1.1704726219177246
DoublePerov_virtual_256_stropt,-3.0499918,4.428482423268708,0.890463650226593,2.601168632507324,1.2330033779144287,1.1897027492523193
DoublePerov_virtual_149_stropt,-3.0497737,4.439368116747633,0.8975675702095032,2.572758674621582,1.248152732849121,1.1964664459228516
DoublePerov_virtual_456_stropt,-3.049998,4.428476652615267,0.8931557536125183,2.6009111404418945,1.2340331077575684,1.1922999620437622
DoublePerov_virtual_367_stropt,-3.0501318,4.428626974507797,0.8856778740882874,2.599360466003418,1.2380459308624268,1.1985336542129517
DoublePerov_virtual_261_stropt,-3.051221,4.449307898567719,0.9867812395095825,2.6264748573303223,1.2682273387908936,1.2347618341445923
DoublePerov_virtual_5_stropt,-3.0497918,4.439435055576927,0.906116783618927,2.576606035232544,1.2481293678283691,1.2015289068222046
DoublePerov_virtual_682_stropt,-3.051713,4.439193698709901,0.9739260673522949,2.6464920043945312,1.2595864534378052,1.251168966293335
DoublePerov_virtual_420_stropt,-3.0511618,4.448875062327551,1.008598804473877,2.62268328666687,1.271369218826294,1.2464624643325806
DoublePerov_virtual_365_stropt,-3.0500302,4.4284704047099765,0.8872775435447693,2.6011924743652344,1.234325885772705,1.1847882270812988
DoublePerov_virtual_156_stropt,-3.0512285,4.449526633472373,0.9802578687667847,2.6251180171966553,1.262305736541748,1.2334141731262207
DoublePerov_virtual_212_stropt,-3.0512726,4.4496505344829025,0.957795262336731,2.6282999515533447,1.2563129663467407,1.2264729738235474
DoublePerov_virtual_415_stropt,-3.0501394,4.428959425189767,0.8858904838562012,2.601778507232666,1.2350928783416748,1.1953309774398804
DoublePerov_virtual_475_stropt,-3.0511553,4.449080404044994,0.9919486045837402,2.6238200664520264,1.2676047086715698,1.233622670173645
DoublePerov_virtual_299_stropt,-3.0501642,4.42900916818474,0.8849052786827087,2.600795269012451,1.23531174659729,1.199852705001831
DoublePerov_virtual_464_stropt,-3.0498152,4.428024631469679,0.8870599865913391,2.6007184982299805,1.2310699224472046,1.1803313493728638
DoublePerov_virtual_56_stropt,-3.0500937,4.428594471444891,0.8853060603141785,2.596017837524414,1.238539457321167,1.1987940073013306
DoublePerov_virtual_19_stropt,-3.0527306,4.407978848937289,0.9754341244697571,2.710951328277588,1.2280327081680298,1.2834657430648804
DoublePerov_virtual_537_stropt,-3.051257,4.44939623387081,0.9912212491035461,2.6262519359588623,1.2684286832809448,1.2368766069412231
DoublePerov_virtual_497_stropt,-3.0498366,4.439574077342282,0.9024754166603088,2.5769190788269043,1.2472038269042969,1.1978166103363037
DoublePerov_virtual_326_stropt,-3.0494244,4.438378445748368,0.8773078322410583,2.5765562057495117,1.2361695766448975,1.1569843292236328
DoublePerov_virtual_624_stropt,-3.0502315,4.429115563994029,0.8743245601654053,2.598111152648926,1.2371840476989746,1.2023643255233765
DoublePerov_virtual_691_stropt,-3.0498812,4.428192023410063,0.8845177888870239,2.5999374389648438,1.229880928993225,1.1817858219146729
DoublePerov_virtual_346_stropt,-3.0513508,4.449586212769566,0.9794067740440369,2.621090888977051,1.2695318460464478,1.2429395914077759
DoublePerov_virtual_275_stropt,-3.050202,4.4291689611767495,0.8799768686294556,2.6055681705474854,1.234246015548706,1.1944084167480469
DoublePerov_virtual_476_stropt,-3.0512235,4.449503742052929,0.9837959408760071,2.6264054775238037,1.2623212337493896,1.2389057874679565
DoublePerov_virtual_528_stropt,-3.0500743,4.428514734901776,0.8962033987045288,2.599595069885254,1.2393990755081177,1.2018369436264038
DoublePerov_virtual_255_stropt,-3.0502415,4.429346657525015,0.8683328628540039,2.6006312370300293,1.237196683883667,1.1958708763122559
DoublePerov_virtual_105_stropt,-3.0500212,4.428432094729011,0.8839696049690247,2.6008448600769043,1.2381503582000732,1.1879538297653198
DoublePerov_virtual_698_stropt,-3.0500536,4.4284418484552,0.8863248229026794,2.5964417457580566,1.2362974882125854,1.1971244812011719
DoublePerov_virtual_295_stropt,-3.0516126,4.438685356371248,0.9981245398521423,2.6425585746765137,1.2644033432006836,1.2553365230560303
DoublePerov_virtual_341_stropt,-3.0501175,4.428723892576333,0.8822203874588013,2.5982885360717773,1.2385627031326294,1.192988634109497
DoublePerov_virtual_278_stropt,-3.0538273,4.389682887221828,0.9523606896400452,2.7620272636413574,1.189119815826416,1.3144359588623047
DoublePerov_virtual_511_stropt,-3.0498676,4.428325760221836,0.8853045701980591,2.602871894836426,1.2307019233703613,1.185514211654663
DoublePerov_virtual_565_stropt,-3.0512393,4.449530017650101,0.9850369095802307,2.6231436729431152,1.2603858709335327,1.244751214981079
DoublePerov_virtual_626_stropt,-3.050077,4.428400028213615,0.892571747303009,2.5979866981506348,1.2416496276855469,1.2043818235397339
DoublePerov_virtual_544_stropt,-3.0511088,4.449150119071814,0.9693517684936523,2.6278233528137207,1.2584651708602905,1.2144414186477661
DoublePerov_virtual_390_stropt,-3.0512266,4.449171451564451,1.0000523328781128,2.6227753162384033,1.2698858976364136,1.2437200546264648
DoublePerov_virtual_241_stropt,-3.051193,4.449332687236935,0.9726357460021973,2.6269989013671875,1.2586365938186646,1.22471022605896
