,Name,BondingProfile,MatrixDistance,Unaverageness,BondDiff,Composition,CompDiff,FormationEnergy
0,CoFe_virtual_22_stropt,"[[0. 0.]
 [0. 0.]]",0.0,0.0,0.0,[0.296875 0.703125],0.004419417382415945,-7.96376371383667
1,CoFe_virtual_54_stropt,"[[0. 0.]
 [0. 0.]]",0.0,0.0,0.0,[0.296875 0.703125],0.004419417382415945,-7.960949420928955
2,CoFe_virtual_88_stropt,"[[0. 0.]
 [0. 0.]]",0.0,0.0,0.0,[0.296875 0.703125],0.004419417382415945,-7.961822509765625
3,CoFe_virtual_97_stropt,"[[0. 0.]
 [0. 0.]]",0.0,0.0,0.0,[0.296875 0.703125],0.004419417382415945,-7.963576793670654
4,CoFe_virtual_87_stropt,"[[0. 0.]
 [0. 0.]]",0.0,0.0,0.0,[0.296875 0.703125],0.004419417382415945,-7.961651802062988
5,CoFe_virtual_63_stropt,"[[0. 0.]
 [0. 0.]]",0.0,0.0,0.0,[0.296875 0.703125],0.004419417382415945,-7.961329936981201
6,CoFe_virtual_16_stropt,"[[0. 0.]
 [0. 0.]]",0.0,0.0,0.0,[0.296875 0.703125],0.004419417382415945,-7.960742473602295
7,CoFe_virtual_29_stropt,"[[0. 0.]
 [0. 0.]]",0.0,0.0,0.0,[0.296875 0.703125],0.004419417382415945,-7.96254825592041
8,CoFe_virtual_90_stropt,"[[0. 0.]
 [0. 0.]]",0.0,0.0,0.0,[0.296875 0.703125],0.004419417382415945,-7.962152004241943
9,CoFe_virtual_74_stropt,"[[0. 0.]
 [0. 0.]]",0.0,0.0,0.0,[0.296875 0.703125],0.004419417382415945,-7.961665153503418
10,CoFe_virtual_79_stropt,"[[0. 0.]
 [0. 0.]]",0.0,0.0,0.0,[0.296875 0.703125],0.004419417382415945,-7.96512508392334
11,CoFe_virtual_80_stropt,"[[0. 0.]
 [0. 0.]]",0.0,0.0,0.0,[0.296875 0.703125],0.004419417382415945,-7.9605393409729
12,CoFe_virtual_34_stropt,"[[0. 0.]
 [0. 0.]]",0.0,0.0,0.0,[0.296875 0.703125],0.004419417382415945,-7.960683345794678
13,CoFe_virtual_38_stropt,"[[0. 0.]
 [0. 0.]]",0.0,0.0,0.0,[0.296875 0.703125],0.004419417382415945,-7.962551593780518
14,CoFe_virtual_24_stropt,"[[0. 0.]
 [0. 0.]]",0.0,0.0,0.0,[0.296875 0.703125],0.004419417382415945,-7.963327407836914
15,CoFe_virtual_72_stropt,"[[0. 0.]
 [0. 0.]]",0.0,0.0,0.0,[0.296875 0.703125],0.004419417382415945,-7.962981224060059
16,CoFe_virtual_9_stropt,"[[0. 0.]
 [0. 0.]]",0.0,0.0,0.0,[0.296875 0.703125],0.004419417382415945,-7.9615159034729
17,CoFe_virtual_48_stropt,"[[0. 0.]
 [0. 0.]]",0.0,0.0,0.0,[0.296875 0.703125],0.004419417382415945,-7.962925434112549
18,CoFe_virtual_6_stropt,"[[0. 0.]
 [0. 0.]]",0.0,0.0,0.0,[0.296875 0.703125],0.004419417382415945,-7.962212085723877
19,CoFe_virtual_35_stropt,"[[0. 0.]
 [0. 0.]]",0.0,0.0,0.0,[0.296875 0.703125],0.004419417382415945,-7.961416721343994
20,CoFe_virtual_81_stropt,"[[0. 0.]
 [0. 0.]]",0.0,0.0,0.0,[0.296875 0.703125],0.004419417382415945,-7.961855888366699
