File,Total Energy (eV),Density,PBE Bandgap (eV),GLLB-SC Bandgap (eV),HSE Bandgap (eV),SCAN Bandgap (eV)
High-entropy_CollCode149265_virtual_184_stropt.cif,-9.820271,10.244785258187758,-0.007045149803161621,0.45934319496154785,-0.007539629936218262,0.3426433801651001
High-entropy_CollCode149265_virtual_203_stropt.cif,-9.824628,10.25449563285969,-0.007018923759460449,0.45235133171081543,-0.007699012756347656,0.3323262929916382
High-entropy_CollCode149265_virtual_295_stropt.cif,-9.822951,10.25528978097824,-0.007019400596618652,0.4586925506591797,-0.007725358009338379,0.3105320930480957
High-entropy_CollCode149265_virtual_69_stropt.cif,-9.817476,10.247720997522311,-0.007049560546875,0.45917439460754395,-0.0077353715896606445,0.33362317085266113
High-entropy_CollCode149265_virtual_287_stropt.cif,-9.820081,10.256794611167411,-0.007045388221740723,0.4555690288543701,-0.0076296329498291016,0.34056127071380615
High-entropy_CollCode149265_virtual_154_stropt.cif,-9.823576,10.250181180937567,-0.0070296525955200195,0.4537491798400879,-0.007636308670043945,0.31527090072631836
High-entropy_CollCode149265_virtual_356_stropt.cif,-9.819579,10.244823465591567,-0.007058620452880859,0.4579204320907593,-0.007566571235656738,0.34435057640075684
High-entropy_CollCode149265_virtual_19_stropt.cif,-9.824192,10.24613251362522,-0.0069811344146728516,0.4553365707397461,-0.007615327835083008,0.32029974460601807
High-entropy_CollCode149265_virtual_268_stropt.cif,-9.820916,10.250792364250588,-0.007005453109741211,0.4558086395263672,-0.007676839828491211,0.32478559017181396
High-entropy_CollCode149265_virtual_321_stropt.cif,-9.818902,10.256301001942377,-0.007057070732116699,0.456631064414978,-0.007658958435058594,0.33066606521606445
High-entropy_CollCode149265_virtual_380_stropt.cif,-9.822987,10.247264025880808,-0.006980180740356445,0.44836223125457764,-0.0074585676193237305,0.3468209505081177
High-entropy_CollCode149265_virtual_141_stropt.cif,-9.81536,10.242697070277266,-0.0071048736572265625,0.455718994140625,-0.0076035261154174805,0.34195148944854736
High-entropy_CollCode149265_virtual_53_stropt.cif,-9.818397,10.245405055856327,-0.007027387619018555,0.4524853229522705,-0.0076296329498291016,0.33585500717163086
High-entropy_CollCode149265_virtual_139_stropt.cif,-9.816208,10.24990582461213,-0.007067680358886719,0.4618116617202759,-0.007741212844848633,0.3240901231765747
High-entropy_CollCode149265_virtual_9_stropt.cif,-9.819411,10.248454573681316,-0.0070455074310302734,0.45649397373199463,-0.007613658905029297,0.34248507022857666
High-entropy_CollCode149265_virtual_94_stropt.cif,-9.820725,10.249587860721318,-0.007045388221740723,0.4560493230819702,-0.0076950788497924805,0.3260253667831421
High-entropy_CollCode149265_virtual_27_stropt.cif,-9.823615,10.251812016705633,-0.0070149898529052734,0.4518474340438843,-0.007693767547607422,0.33244895935058594
High-entropy_CollCode149265_virtual_72_stropt.cif,-9.818724,10.24404496579792,-0.00704646110534668,0.4582303762435913,-0.007719755172729492,0.3294023275375366
High-entropy_CollCode149265_virtual_390_stropt.cif,-9.814921,10.245591027559383,-0.007224440574645996,0.4562886953353882,-0.007278919219970703,0.31772375106811523
High-entropy_CollCode149265_virtual_17_stropt.cif,-9.816227,10.251069561355862,-0.0070885419845581055,0.45917510986328125,-0.007591128349304199,0.33510518074035645
High-entropy_CollCode149265_virtual_190_stropt.cif,-9.830959,10.246791799549817,-0.00704193115234375,0.451382040977478,-0.007673740386962891,0.3387502431869507
High-entropy_CollCode149265_virtual_277_stropt.cif,-9.817071,10.247625804308239,-0.007037997245788574,0.45796430110931396,-0.007689833641052246,0.3252086639404297
High-entropy_CollCode149265_virtual_37_stropt.cif,-9.824252,10.247091672941227,-0.007041811943054199,0.4508686065673828,-0.00759279727935791,0.34158098697662354
High-entropy_CollCode149265_virtual_191_stropt.cif,-9.820103,10.248698893972756,-0.007012605667114258,0.4550870656967163,-0.007634162902832031,0.3417304754257202
High-entropy_CollCode149265_virtual_158_stropt.cif,-9.817473,10.252836562143916,-0.007012724876403809,0.450390100479126,-0.007743120193481445,0.34172606468200684
High-entropy_CollCode149265_virtual_21_stropt.cif,-9.820346,10.240744654155934,-0.0070497989654541016,0.45517587661743164,-0.00765538215637207,0.33728528022766113
High-entropy_CollCode149265_virtual_16_stropt.cif,-9.823869,10.25618877364245,-0.0070154666900634766,0.45781755447387695,-0.007689237594604492,0.31867265701293945
High-entropy_CollCode149265_virtual_76_stropt.cif,-9.822412,10.249258831554371,-0.007032632827758789,0.4483281373977661,-0.007799267768859863,0.3455122709274292
High-entropy_CollCode149265_virtual_162_stropt.cif,-9.823427,10.255593390083272,-0.007001280784606934,0.45585811138153076,-0.007623553276062012,0.3352823257446289
High-entropy_CollCode149265_virtual_28_stropt.cif,-9.819442,10.259719688227175,-0.007053852081298828,0.458398699760437,-0.007604718208312988,0.3167470693588257
High-entropy_CollCode149265_virtual_15_stropt.cif,-9.819818,10.241017955098137,-0.007104039192199707,0.4571514129638672,-0.007503867149353027,0.3383626937866211
High-entropy_CollCode149265_virtual_189_stropt.cif,-9.816929,10.258272515762242,-0.007036685943603516,0.45474255084991455,-0.00758814811706543,0.3228970766067505
High-entropy_CollCode149265_virtual_8_stropt.cif,-9.823122,10.23948684990746,-0.0070362091064453125,0.4529848098754883,-0.0078008174896240234,0.3404686450958252
High-entropy_CollCode149265_virtual_89_stropt.cif,-9.819796,10.247749576922876,-0.007047772407531738,0.4546847343444824,-0.007695674896240234,0.356451153755188
High-entropy_CollCode149265_virtual_142_stropt.cif,-9.823179,10.249712916439654,-0.007063508033752441,0.4550968408584595,-0.007725954055786133,0.33878767490386963
High-entropy_CollCode149265_virtual_41_stropt.cif,-9.821605,10.252025819833225,-0.007061123847961426,0.46147167682647705,-0.007676839828491211,0.3174363374710083
High-entropy_CollCode149265_virtual_0_stropt.cif,-9.820105,10.235684357817002,-0.007031559944152832,0.4596964120864868,-0.007619738578796387,0.3228020668029785
High-entropy_CollCode149265_virtual_249_stropt.cif,-9.817072,10.260356416428932,-0.007075667381286621,0.45430898666381836,-0.007531166076660156,0.34017860889434814
High-entropy_CollCode149265_virtual_256_stropt.cif,-9.816816,10.255423566761603,-0.0070111751556396484,0.458315372467041,-0.007651090621948242,0.31730353832244873
High-entropy_CollCode149265_virtual_347_stropt.cif,-9.821089,10.251989962424668,-0.007077932357788086,0.4544236660003662,-0.007462978363037109,0.3395446538925171
High-entropy_CollCode149265_virtual_152_stropt.cif,-9.825954,10.246678919864976,-0.007021069526672363,0.4542046785354614,-0.007621288299560547,0.33795857429504395
High-entropy_CollCode149265_virtual_392_stropt.cif,-9.82152,10.243209736260322,-0.007009267807006836,0.45292234420776367,-0.0076149702072143555,0.3438166379928589
High-entropy_CollCode149265_virtual_350_stropt.cif,-9.82036,10.253589080922534,-0.00709843635559082,0.46016860008239746,-0.007706880569458008,0.31128156185150146
High-entropy_CollCode149265_virtual_332_stropt.cif,-9.818819,10.251702389078448,-0.007035732269287109,0.457505464553833,-0.007601261138916016,0.3247489929199219
High-entropy_CollCode149265_virtual_254_stropt.cif,-9.815695,10.235597261669215,-0.007048606872558594,0.4550762176513672,-0.007653594017028809,0.34393417835235596
High-entropy_CollCode149265_virtual_274_stropt.cif,-9.8205805,10.243125617902987,-0.007032871246337891,0.45399558544158936,-0.007561802864074707,0.3409147262573242
High-entropy_CollCode149265_virtual_108_stropt.cif,-9.818005,10.248264719490413,-0.007035613059997559,0.45581018924713135,-0.007624149322509766,0.33710813522338867
High-entropy_CollCode149265_virtual_128_stropt.cif,-9.821661,10.247526004514414,-0.007039785385131836,0.45992791652679443,-0.007605195045471191,0.32972919940948486
High-entropy_CollCode149265_virtual_225_stropt.cif,-9.822696,10.253164627810316,-0.00705265998840332,0.4546365737915039,-0.007652759552001953,0.34060001373291016
High-entropy_CollCode149265_virtual_95_stropt.cif,-9.815529,10.243630308071028,-0.007028341293334961,0.45049941539764404,-0.0074880123138427734,0.3601665496826172
High-entropy_CollCode149265_virtual_48_stropt.cif,-9.827338,10.249898489564252,-0.007060885429382324,0.4569551944732666,-0.007814526557922363,0.3347175121307373
High-entropy_CollCode149265_virtual_228_stropt.cif,-9.828556,10.243192632217584,-0.007042407989501953,0.4550199508666992,-0.007610678672790527,0.32196295261383057
High-entropy_CollCode149265_virtual_379_stropt.cif,-9.821768,10.252317250087177,-0.0070313215255737305,0.4502774477005005,-0.0075713396072387695,0.33111894130706787
High-entropy_CollCode149265_virtual_237_stropt.cif,-9.817339,10.26010466970937,-0.007073640823364258,0.4599524736404419,-0.007716655731201172,0.3305259943008423
High-entropy_CollCode149265_virtual_290_stropt.cif,-9.822811,10.24760480570534,-0.007014274597167969,0.45274436473846436,-0.007686495780944824,0.3151928186416626
High-entropy_CollCode149265_virtual_79_stropt.cif,-9.817861,10.25029080541041,-0.007065534591674805,0.4614821672439575,-0.00765681266784668,0.33835113048553467
High-entropy_CollCode149265_virtual_393_stropt.cif,-9.823286,10.256756525058059,-0.0070116519927978516,0.4536641836166382,-0.007609844207763672,0.3193013668060303
High-entropy_CollCode149265_virtual_97_stropt.cif,-9.818387,10.252662751909783,-0.007057666778564453,0.4541628360748291,-0.007637500762939453,0.35828113555908203
High-entropy_CollCode149265_virtual_11_stropt.cif,-9.818903,10.24851994868669,-0.007067203521728516,0.45561933517456055,-0.007593393325805664,0.3323160409927368
High-entropy_CollCode149265_virtual_226_stropt.cif,-9.820448,10.246159122849882,-0.007041454315185547,0.4535865783691406,-0.007631063461303711,0.333469033241272
High-entropy_CollCode149265_virtual_29_stropt.cif,-9.816824,10.247099908004285,-0.007049083709716797,0.4551886320114136,-0.007627606391906738,0.3432384729385376
High-entropy_CollCode149265_virtual_255_stropt.cif,-9.821364,10.248092132832776,-0.007027149200439453,0.45077431201934814,-0.007649660110473633,0.3264657258987427
High-entropy_CollCode149265_virtual_326_stropt.cif,-9.822662,10.260061372033496,-0.00698697566986084,0.45251405239105225,-0.007623791694641113,0.3262808322906494
High-entropy_CollCode149265_virtual_385_stropt.cif,-9.820139,10.244632756143437,-0.007014155387878418,0.4518277645111084,-0.007622838020324707,0.3427509069442749
High-entropy_CollCode149265_virtual_116_stropt.cif,-9.818921,10.258886014095825,-0.007032036781311035,0.45960044860839844,-0.007711291313171387,0.31713640689849854
