,Name,BondingProfile,MatrixDistance,Unaverageness,BondDiff,Composition,CompDiff,FormationEnergy
0,Gehlenite_virtual_296_stropt,"[[0.         0.         0.52083333 6.58333333]
 [0.         0.         0.         4.        ]
 [1.04166667 0.         0.         4.        ]
 [1.88095238 1.14285714 0.57142857 0.        ]]",5.029001950196417,38.84584919911007,43.87485114930649,[0.16666667 0.16666667 0.58333333 0.08333333],0.11785113019775796,-7.733819484710693
1,Gehlenite_virtual_737_stropt,"[[0.         0.         0.52083333 6.6875    ]
 [0.         0.         0.         4.        ]
 [1.04166667 0.         0.         4.        ]
 [1.91071429 1.14285714 0.57142857 0.        ]]",5.1089688294214515,39.30648801406709,44.41545684348854,[0.16666667 0.16666667 0.58333333 0.08333333],0.11785113019775796,-7.735538005828857
2,Gehlenite_virtual_299_stropt,"[[0.         0.         0.5        6.8125    ]
 [0.         0.         0.         4.        ]
 [1.         0.         0.         4.        ]
 [1.94642857 1.14285714 0.57142857 0.        ]]",5.206075190748147,39.89987468652001,45.10594987726815,[0.16666667 0.16666667 0.58333333 0.08333333],0.11785113019775796,-7.736645221710205
3,Gehlenite_virtual_1017_stropt,"[[0.         0.         0.5        6.72916667]
 [0.         0.         0.         4.        ]
 [1.         0.         0.         4.        ]
 [1.92261905 1.14285714 0.57142857 0.        ]]",5.141035453652726,39.496835316263,44.63787076991573,[0.16666667 0.16666667 0.58333333 0.08333333],0.11785113019775796,-7.7365546226501465
4,Gehlenite_virtual_810_stropt,"[[0.         0.         0.5        6.625     ]
 [0.         0.         0.         4.        ]
 [1.         0.         0.         4.        ]
 [1.89285714 1.14285714 0.57142857 0.        ]]",5.060647634291292,38.8587184554509,43.91936608974219,[0.16666667 0.16666667 0.58333333 0.08333333],0.11785113019775796,-7.738976955413818
5,Gehlenite_virtual_711_stropt,"[[0.         0.         0.52083333 6.60416667]
 [0.         0.         0.         4.        ]
 [1.04166667 0.         0.         4.        ]
 [1.88690476 1.14285714 0.57142857 0.        ]]",5.044910619386272,38.948684188300895,43.99359480768717,[0.16666667 0.16666667 0.58333333 0.08333333],0.11785113019775796,-7.733310222625732
6,Gehlenite_virtual_249_stropt,"[[0.         0.         0.5        6.8125    ]
 [0.         0.         0.         4.        ]
 [1.         0.         0.         4.        ]
 [1.94642857 1.14285714 0.57142857 0.        ]]",5.206075190748147,39.824615503479755,45.0306906942279,[0.16666667 0.16666667 0.58333333 0.08333333],0.11785113019775796,-7.739407062530518
7,Gehlenite_virtual_793_stropt,"[[0.         0.         0.52083333 6.6875    ]
 [0.         0.         0.         4.        ]
 [1.04166667 0.         0.         4.        ]
 [1.91071429 1.14285714 0.57142857 0.        ]]",5.1089688294214515,39.331920878594275,44.440889708015725,[0.16666667 0.16666667 0.58333333 0.08333333],0.11785113019775796,-7.737126350402832
8,Gehlenite_virtual_738_stropt,"[[0.         0.         0.5        6.66666667]
 [0.         0.         0.         4.        ]
 [1.         0.         0.         4.        ]
 [1.9047619  1.14285714 0.57142857 0.        ]]",5.0926784848112945,39.21734310225516,44.31002158706645,[0.16666667 0.16666667 0.58333333 0.08333333],0.11785113019775796,-7.735722541809082
9,Gehlenite_virtual_338_stropt,"[[0.         0.         0.52083333 6.77083333]
 [0.         0.         0.         4.        ]
 [1.04166667 0.         0.         4.        ]
 [1.93452381 1.14285714 0.57142857 0.        ]]",5.173685776904177,39.786932528155525,44.960618305059704,[0.16666667 0.16666667 0.58333333 0.08333333],0.11785113019775796,-7.737539291381836
10,Gehlenite_virtual_912_stropt,"[[0.         0.         0.52083333 6.58333333]
 [0.         0.         0.         4.        ]
 [1.04166667 0.         0.         4.        ]
 [1.88095238 1.14285714 0.57142857 0.        ]]",5.029001950196417,38.923000912057134,43.95200286225355,[0.16666667 0.16666667 0.58333333 0.08333333],0.11785113019775796,-7.734085559844971
11,Gehlenite_virtual_949_stropt,"[[0.         0.         0.5        6.625     ]
 [0.         0.         0.         4.        ]
 [1.         0.         0.         4.        ]
 [1.89285714 1.14285714 0.57142857 0.        ]]",5.060647634291292,39.03844259188627,44.099090226177566,[0.16666667 0.16666667 0.58333333 0.08333333],0.11785113019775796,-7.734235763549805
12,Gehlenite_virtual_650_stropt,"[[0.         0.         0.52083333 6.66666667]
 [0.         0.         0.         4.        ]
 [1.04166667 0.         0.         4.        ]
 [1.9047619  1.14285714 0.57142857 0.        ]]",5.092891544942692,39.30648801406709,44.39937955900979,[0.16666667 0.16666667 0.58333333 0.08333333],0.11785113019775796,-7.73413610458374
13,Gehlenite_virtual_297_stropt,"[[0.         0.         0.54166667 6.66666667]
 [0.         0.         0.         4.        ]
 [1.08333333 0.         0.         4.        ]
 [1.9047619  1.14285714 0.57142857 0.        ]]",5.093530671863616,39.496835316263,44.59036598812662,[0.16666667 0.16666667 0.58333333 0.08333333],0.11785113019775796,-7.732331275939941
14,Gehlenite_virtual_563_stropt,"[[0.         0.         0.5        6.70833333]
 [0.         0.         0.         4.        ]
 [1.         0.         0.         4.        ]
 [1.91666667 1.14285714 0.57142857 0.        ]]",5.12487555846929,39.44616584663204,44.57104140510133,[0.16666667 0.16666667 0.58333333 0.08333333],0.11785113019775796,-7.73621940612793
15,Gehlenite_virtual_450_stropt,"[[0.         0.         0.5        6.625     ]
 [0.         0.         0.         4.        ]
 [1.         0.         0.         4.        ]
 [1.89285714 1.14285714 0.57142857 0.        ]]",5.060647634291292,38.910152916687444,43.97080055097874,[0.16666667 0.16666667 0.58333333 0.08333333],0.11785113019775796,-7.737482070922852
16,Gehlenite_virtual_830_stropt,"[[0.         0.         0.5625     6.6875    ]
 [0.         0.         0.         4.        ]
 [1.125      0.         0.         4.        ]
 [1.91071429 1.14285714 0.57142857 0.        ]]",5.110667628706754,39.50949253027682,44.62016015898358,[0.16666667 0.16666667 0.58333333 0.08333333],0.11785113019775796,-7.735474586486816
17,Gehlenite_virtual_589_stropt,"[[0.         0.         0.5        6.79166667]
 [0.         0.         0.         4.        ]
 [1.         0.         0.         4.        ]
 [1.94047619 1.14285714 0.57142857 0.        ]]",5.1897559843282375,39.724048132082416,44.91380411641065,[0.16666667 0.16666667 0.58333333 0.08333333],0.11785113019775796,-7.738863945007324
18,Gehlenite_virtual_120_stropt,"[[0.         0.         0.5        6.625     ]
 [0.         0.         0.         4.        ]
 [1.         0.         0.         4.        ]
 [1.89285714 1.14285714 0.57142857 0.        ]]",5.060647634291292,39.064049969249226,44.12469760354052,[0.16666667 0.16666667 0.58333333 0.08333333],0.11785113019775796,-7.736240863800049
19,Gehlenite_virtual_1236_stropt,"[[0.         0.         0.52083333 6.5625    ]
 [0.         0.         0.         4.        ]
 [1.04166667 0.         0.         4.        ]
 [1.875      1.14285714 0.57142857 0.        ]]",5.0131364423677836,38.89730067755345,43.910437119921234,[0.16666667 0.16666667 0.58333333 0.08333333],0.11785113019775796,-7.732065677642822
20,Gehlenite_virtual_171_stropt,"[[0.         0.         0.52083333 6.64583333]
 [0.         0.         0.         4.        ]
 [1.04166667 0.         0.         4.        ]
 [1.89880952 1.14285714 0.57142857 0.        ]]",5.076855817760739,39.02563260217572,44.102488419936456,[0.16666667 0.16666667 0.58333333 0.08333333],0.11785113019775796,-7.7359137535095215
21,Gehlenite_virtual_1114_stropt,"[[0.         0.         0.5        6.70833333]
 [0.         0.         0.         4.        ]
 [1.         0.         0.         4.        ]
 [1.91666667 1.14285714 0.57142857 0.        ]]",5.12487555846929,39.16631205513228,44.29118761360157,[0.16666667 0.16666667 0.58333333 0.08333333],0.11785113019775796,-7.739801406860352
22,Gehlenite_virtual_619_stropt,"[[0.         0.         0.5        6.60416667]
 [0.         0.         0.         4.        ]
 [1.         0.         0.         4.        ]
 [1.88690476 1.14285714 0.57142857 0.        ]]",5.044695532805473,38.93584466786357,43.98054020066904,[0.16666667 0.16666667 0.58333333 0.08333333],0.11785113019775796,-7.734931945800781
23,Gehlenite_virtual_659_stropt,"[[0.         0.         0.52083333 6.83333333]
 [0.         0.         0.         4.        ]
 [1.04166667 0.         0.         4.        ]
 [1.95238095 1.14285714 0.57142857 0.        ]]",5.222641062020098,40.18706259482024,45.409703656840335,[0.16666667 0.16666667 0.58333333 0.08333333],0.11785113019775796,-7.735110282897949
24,Gehlenite_virtual_727_stropt,"[[0.         0.         0.5        6.72916667]
 [0.         0.         0.         4.        ]
 [1.         0.         0.         4.        ]
 [1.92261905 1.14285714 0.57142857 0.        ]]",5.141035453652726,39.37003937005906,44.51107482371179,[0.16666667 0.16666667 0.58333333 0.08333333],0.11785113019775796,-7.736392974853516
25,Gehlenite_virtual_596_stropt,"[[0.         0.         0.52083333 6.70833333]
 [0.         0.         0.         4.        ]
 [1.04166667 0.         0.         4.        ]
 [1.91666667 1.14285714 0.57142857 0.        ]]",5.125087280104096,39.56008088970497,44.68516816980907,[0.16666667 0.16666667 0.58333333 0.08333333],0.11785113019775796,-7.734801292419434
26,Gehlenite_virtual_334_stropt,"[[0.         0.         0.5        6.6875    ]
 [0.         0.         0.         4.        ]
 [1.         0.         0.         4.        ]
 [1.91071429 1.14285714 0.57142857 0.        ]]",5.108756439791499,39.37003937005906,44.47879580985056,[0.16666667 0.16666667 0.58333333 0.08333333],0.11785113019775796,-7.734386920928955
27,Gehlenite_virtual_87_stropt,"[[0.         0.         0.52083333 6.75      ]
 [0.         0.         0.         4.        ]
 [1.04166667 0.         0.         4.        ]
 [1.92857143 1.14285714 0.57142857 0.        ]]",5.157446135225758,39.63584236521283,44.79328850043859,[0.16666667 0.16666667 0.58333333 0.08333333],0.11785113019775796,-7.737592697143555
28,Gehlenite_virtual_1210_stropt,"[[0.         0.         0.5        6.625     ]
 [0.         0.         0.         4.        ]
 [1.         0.         0.         4.        ]
 [1.89285714 1.14285714 0.57142857 0.        ]]",5.060647634291292,39.1152144312159,44.17586206550719,[0.16666667 0.16666667 0.58333333 0.08333333],0.11785113019775796,-7.733928680419922
29,Gehlenite_virtual_834_stropt,"[[0.         0.         0.5625     6.6875    ]
 [0.         0.         0.         4.        ]
 [1.125      0.         0.         4.        ]
 [1.91071429 1.14285714 0.57142857 0.        ]]",5.110667628706754,39.50949253027682,44.62016015898358,[0.16666667 0.16666667 0.58333333 0.08333333],0.11785113019775796,-7.73368501663208
30,Gehlenite_virtual_347_stropt,"[[0.         0.         0.52083333 6.60416667]
 [0.         0.         0.         4.        ]
 [1.04166667 0.         0.         4.        ]
 [1.88690476 1.14285714 0.57142857 0.        ]]",5.044910619386272,39.102429592034305,44.14734021142058,[0.16666667 0.16666667 0.58333333 0.08333333],0.11785113019775796,-7.735288619995117
31,Gehlenite_virtual_189_stropt,"[[0.         0.         0.52083333 6.60416667]
 [0.         0.         0.         4.        ]
 [1.04166667 0.         0.         4.        ]
 [1.88690476 1.14285714 0.57142857 0.        ]]",5.044910619386272,38.923000912057134,43.967911531443406,[0.16666667 0.16666667 0.58333333 0.08333333],0.11785113019775796,-7.733847141265869
32,Gehlenite_virtual_536_stropt,"[[0.         0.         0.54166667 6.60416667]
 [0.         0.         0.         4.        ]
 [1.08333333 0.         0.         4.        ]
 [1.88690476 1.14285714 0.57142857 0.        ]]",5.0455558241152225,39.03844259188627,44.08399841600149,[0.16666667 0.16666667 0.58333333 0.08333333],0.11785113019775796,-7.732661247253418
33,Gehlenite_virtual_1262_stropt,"[[0.         0.         0.5        6.6875    ]
 [0.         0.         0.         4.        ]
 [1.         0.         0.         4.        ]
 [1.91071429 1.14285714 0.57142857 0.        ]]",5.108756439791499,39.39543120718442,44.50418764697592,[0.16666667 0.16666667 0.58333333 0.08333333],0.11785113019775796,-7.735843658447266
34,Gehlenite_virtual_797_stropt,"[[0.         0.         0.5        6.6875    ]
 [0.         0.         0.         4.        ]
 [1.         0.         0.         4.        ]
 [1.91071429 1.14285714 0.57142857 0.        ]]",5.108756439791499,39.24283374069717,44.35159018048867,[0.16666667 0.16666667 0.58333333 0.08333333],0.11785113019775796,-7.738856315612793
35,Gehlenite_virtual_877_stropt,"[[0.         0.         0.54166667 6.8125    ]
 [0.         0.         0.         4.        ]
 [1.08333333 0.         0.         4.        ]
 [1.94642857 1.14285714 0.57142857 0.        ]]",5.206908818798243,40.149719799769464,45.356628618567704,[0.16666667 0.16666667 0.58333333 0.08333333],0.11785113019775796,-7.735865592956543
36,Gehlenite_virtual_221_stropt,"[[0.         0.         0.5        6.8125    ]
 [0.         0.         0.         4.        ]
 [1.         0.         0.         4.        ]
 [1.94642857 1.14285714 0.57142857 0.        ]]",5.206075190748147,40.099875311526844,45.30595050227499,[0.16666667 0.16666667 0.58333333 0.08333333],0.11785113019775796,-7.734259128570557
37,Gehlenite_virtual_174_stropt,"[[0.         0.         0.5        6.75      ]
 [0.         0.         0.         4.        ]
 [1.         0.         0.         4.        ]
 [1.92857143 1.14285714 0.57142857 0.        ]]",5.157235742029466,39.52214569073901,44.67938143276847,[0.16666667 0.16666667 0.58333333 0.08333333],0.11785113019775796,-7.738295555114746
38,Gehlenite_virtual_1082_stropt,"[[0.         0.         0.5        6.6875    ]
 [0.         0.         0.         4.        ]
 [1.         0.         0.         4.        ]
 [1.91071429 1.14285714 0.57142857 0.        ]]",5.108756439791499,39.319206502675,44.4279629424665,[0.16666667 0.16666667 0.58333333 0.08333333],0.11785113019775796,-7.735894203186035
39,Gehlenite_virtual_1187_stropt,"[[0.         0.         0.5        6.625     ]
 [0.         0.         0.         4.        ]
 [1.         0.         0.         4.        ]
 [1.89285714 1.14285714 0.57142857 0.        ]]",5.060647634291292,38.80721582386451,43.8678634581558,[0.16666667 0.16666667 0.58333333 0.08333333],0.11785113019775796,-7.738977432250977
40,Gehlenite_virtual_878_stropt,"[[0.         0.         0.52083333 6.625     ]
 [0.         0.         0.         4.        ]
 [1.04166667 0.         0.         4.        ]
 [1.89285714 1.14285714 0.57142857 0.        ]]",5.060862042908,38.923000912057134,43.98386295496513,[0.16666667 0.16666667 0.58333333 0.08333333],0.11785113019775796,-7.7362236976623535
41,Gehlenite_virtual_380_stropt,"[[0.         0.         0.47916667 6.6875    ]
 [0.         0.         0.         4.        ]
 [0.95833333 0.         0.         4.        ]
 [1.91071429 1.14285714 0.57142857 0.        ]]",5.1089688294214515,39.408120990476064,44.517089819897514,[0.16666667 0.16666667 0.58333333 0.08333333],0.11785113019775796,-7.736067771911621
42,Gehlenite_virtual_59_stropt,"[[0.         0.         0.5625     6.72916667]
 [0.         0.         0.         4.        ]
 [1.125      0.         0.         4.        ]
 [1.92261905 1.14285714 0.57142857 0.        ]]",5.142934647233454,39.585350825778974,44.72828547301243,[0.16666667 0.16666667 0.58333333 0.08333333],0.11785113019775796,-7.738719940185547
43,Gehlenite_virtual_723_stropt,"[[0.         0.         0.52083333 6.70833333]
 [0.         0.         0.         4.        ]
 [1.04166667 0.         0.         4.        ]
 [1.91666667 1.14285714 0.57142857 0.        ]]",5.125087280104096,39.48417404479927,44.609261324903365,[0.16666667 0.16666667 0.58333333 0.08333333],0.11785113019775796,-7.736754417419434
44,Gehlenite_virtual_1220_stropt,"[[0.         0.         0.54166667 6.66666667]
 [0.         0.         0.         4.        ]
 [1.08333333 0.         0.         4.        ]
 [1.9047619  1.14285714 0.57142857 0.        ]]",5.093530671863616,39.24283374069717,44.33636441256079,[0.16666667 0.16666667 0.58333333 0.08333333],0.11785113019775796,-7.734083652496338
45,Gehlenite_virtual_1121_stropt,"[[0.         0.         0.52083333 6.66666667]
 [0.         0.         0.         4.        ]
 [1.04166667 0.         0.         4.        ]
 [1.9047619  1.14285714 0.57142857 0.        ]]",5.092891544942692,39.408120990476064,44.50101253541875,[0.16666667 0.16666667 0.58333333 0.08333333],0.11785113019775796,-7.734559059143066
46,Gehlenite_virtual_938_stropt,"[[0.         0.         0.58333333 6.6875    ]
 [0.         0.         0.         4.        ]
 [1.16666667 0.         0.         4.        ]
 [1.91071429 1.14285714 0.57142857 0.        ]]",5.11215361499763,39.59797974644666,44.71013336144429,[0.16666667 0.16666667 0.58333333 0.08333333],0.11785113019775796,-7.732583522796631
47,Gehlenite_virtual_7_stropt,"[[0.         0.         0.5        6.75      ]
 [0.         0.         0.         4.        ]
 [1.         0.         0.         4.        ]
 [1.92857143 1.14285714 0.57142857 0.        ]]",5.157235742029466,39.52214569073901,44.67938143276847,[0.16666667 0.16666667 0.58333333 0.08333333],0.11785113019775796,-7.740161418914795
48,Gehlenite_virtual_202_stropt,"[[0.         0.         0.5        6.66666667]
 [0.         0.         0.         4.        ]
 [1.         0.         0.         4.        ]
 [1.9047619  1.14285714 0.57142857 0.        ]]",5.0926784848112945,39.496835316263,44.5895138010743,[0.16666667 0.16666667 0.58333333 0.08333333],0.11785113019775796,-7.732810974121094
49,Gehlenite_virtual_480_stropt,"[[0.         0.         0.54166667 6.60416667]
 [0.         0.         0.         4.        ]
 [1.08333333 0.         0.         4.        ]
 [1.88690476 1.14285714 0.57142857 0.        ]]",5.0455558241152225,38.8329756778952,43.87853150201042,[0.16666667 0.16666667 0.58333333 0.08333333],0.11785113019775796,-7.73628568649292
