,Name,BondingProfile,MatrixDistance,Unaverageness,BondDiff,Composition,CompDiff,FormationEnergy
0,HEA_virtual_344,"[[0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0.]]",0.0,0.0,0.0,[0.2 0.2 0.2 0.2 0.2],0.0,-8.042529106140137
1,HEA_virtual_364,"[[0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0.]]",0.0,0.0,0.0,[0.2 0.2 0.2 0.2 0.2],0.0,-8.046255111694336
2,HEA_virtual_210,"[[0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0.]]",0.0,0.0,0.0,[0.2 0.2 0.2 0.2 0.2],0.0,-8.041814804077148
3,HEA_virtual_371,"[[0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0.]]",0.0,0.0,0.0,[0.2 0.2 0.2 0.2 0.2],0.0,-8.044837951660156
4,HEA_virtual_48,"[[0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0.]]",0.0,0.0,0.0,[0.2 0.2 0.2 0.2 0.2],0.0,-8.048937797546387
5,HEA_virtual_526,"[[0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0.]]",0.0,0.0,0.0,[0.2 0.2 0.2 0.2 0.2],0.0,-8.05062484741211
6,HEA_virtual_169,"[[0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0.]]",0.0,0.0,0.0,[0.2 0.2 0.2 0.2 0.2],0.0,-8.03349494934082
7,HEA_virtual_33,"[[0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0.]]",0.0,0.0,0.0,[0.2 0.2 0.2 0.2 0.2],0.0,-8.04223346710205
8,HEA_virtual_295,"[[0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0.]]",0.0,0.0,0.0,[0.2 0.2 0.2 0.2 0.2],0.0,-8.04362678527832
9,HEA_virtual_580,"[[0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0.]]",0.0,0.0,0.0,[0.2 0.2 0.2 0.2 0.2],0.0,-8.041281700134277
