File,Total Energy (eV),Density,PBE Bandgap (eV),GLLB-SC Bandgap (eV),HSE Bandgap (eV),SCAN Bandgap (eV)
6_Zn4V4O11_virtual_213_stropt,-7.227536,5.003022633533365,0.24771440029144287,1.1910637617111206,0.8231698870658875,-0.004413723945617676
6_Zn4V4O11_virtual_244_stropt,-7.224952,4.9928529180147745,0.17194867134094238,1.0981316566467285,0.9521155953407288,0.0025295019149780273
6_Zn4V4O11_virtual_330_stropt,-7.2266955,4.99362110962287,0.09570443630218506,1.0218310356140137,0.8987671136856079,0.0017069578170776367
6_Zn4V4O11_virtual_314_stropt,-7.2275496,4.999463506756687,0.1539093255996704,1.1876964569091797,0.8606398701667786,-0.0031510591506958008
6_Zn4V4O11_virtual_120_stropt,-7.225743,4.9923179664868895,0.2530261278152466,1.0797462463378906,0.8391679525375366,-0.0053681135177612305
6_Zn4V4O11_virtual_63_stropt,-7.2249026,4.995276535090035,0.19816255569458008,1.1048847436904907,0.956027090549469,-0.0012936592102050781
6_Zn4V4O11_virtual_399_stropt,-7.221906,4.98703002045237,0.10315132141113281,0.7174612283706665,0.7750745415687561,0.0008289813995361328
6_Zn4V4O11_virtual_292_stropt,-7.21539,4.982456660852062,0.00029754638671875,0.9768105745315552,1.0414050817489624,0.01224374771118164
6_Zn4V4O11_virtual_259_stropt,-7.2269754,4.996452062391689,0.1851431131362915,1.2176635265350342,0.9265497922897339,-0.0061492919921875
6_Zn4V4O11_virtual_0_stropt,-7.223993,4.989834007711397,-0.003598332405090332,1.1285449266433716,0.9505382776260376,0.0029282569885253906
6_Zn4V4O11_virtual_221_stropt,-7.224258,4.992468786893966,-0.009425163269042969,0.7667443752288818,0.8536142110824585,1.704692840576172e-05
6_Zn4V4O11_virtual_20_stropt,-7.22693,4.998601491831763,0.2348095178604126,1.194805383682251,0.9579564929008484,-0.0048828125
6_Zn4V4O11_virtual_147_stropt,-7.22201,4.98861598450995,0.018429279327392578,0.9318424463272095,0.9122714400291443,0.005830526351928711
6_Zn4V4O11_virtual_321_stropt,-7.223565,4.9963076607258925,-0.0011063814163208008,1.1942657232284546,0.9075503945350647,-0.007816195487976074
6_Zn4V4O11_virtual_117_stropt,-7.225661,4.9982913566734695,0.17785882949829102,1.1219396591186523,0.8859560489654541,-0.0031293630599975586
6_Zn4V4O11_virtual_282_stropt,-7.2283416,5.00195741629986,0.3463667631149292,1.1106748580932617,0.867073118686676,-0.0026772022247314453
6_Zn4V4O11_virtual_252_stropt,-7.227288,5.003330619261899,0.4364907741546631,1.0249996185302734,0.8105461597442627,-0.005191326141357422
6_Zn4V4O11_virtual_69_stropt,-7.225083,4.996467835048019,0.25790083408355713,1.1253055334091187,0.8400920033454895,-0.002160310745239258
6_Zn4V4O11_virtual_305_stropt,-7.221853,4.994336617162442,0.0005565881729125977,0.9694494009017944,0.8916327357292175,0.0037077665328979492
6_Zn4V4O11_virtual_328_stropt,-7.221996,4.992013653060366,0.18993926048278809,1.0043830871582031,0.8657894730567932,-0.006113886833190918
6_Zn4V4O11_virtual_95_stropt,-7.227663,4.995945269653276,0.20642662048339844,1.3653653860092163,0.8525812029838562,-0.008554577827453613
6_Zn4V4O11_virtual_212_stropt,-7.2297335,5.002248512164733,0.1846020221710205,1.1872854232788086,0.8930643796920776,-0.003408074378967285
