,Name,BondingProfile,MatrixDistance,Unaverageness,BondDiff,Composition,CompDiff,FormationEnergy
0,LT-CuTiTe_virtual_256_stropt,"[[0.         0.         4.        ]
 [0.         0.         3.77083333]
 [1.         3.77083333 0.        ]]",5.593041932218599,43.60045871318328,49.193500645401876,[0.44444444 0.44444444 0.11111111],0.1360846381213621,-4.5185394287109375
1,LT-CuTiTe_virtual_170_stropt,"[[0.         0.         4.        ]
 [0.         0.         3.79166667]
 [1.         3.79166667 0.        ]]",5.6127954017781745,43.81780460041329,49.43060000219146,[0.44444444 0.44444444 0.11111111],0.1360846381213621,-4.518651008605957
2,LT-CuTiTe_virtual_201_stropt,"[[0.         0.         4.        ]
 [0.         0.         3.82291667]
 [1.         3.82291667 0.        ]]",5.64258439729133,44.1871021905714,49.82968658786273,[0.44444444 0.44444444 0.11111111],0.1360846381213621,-4.51844596862793
3,LT-CuTiTe_virtual_257_stropt,"[[0.         0.         4.        ]
 [0.         0.         3.77083333]
 [1.         3.77083333 0.        ]]",5.593041932218599,43.508619835614184,49.10166176783278,[0.44444444 0.44444444 0.11111111],0.1360846381213621,-4.519028186798096
4,LT-CuTiTe_virtual_196_stropt,"[[0.     0.     4.    ]
 [0.     0.     3.8125]
 [1.     3.8125 0.    ]]",5.63263370902103,44.034077712607996,49.666711421629024,[0.44444444 0.44444444 0.11111111],0.1360846381213621,-4.51881742477417
5,LT-CuTiTe_virtual_290_stropt,"[[0.         0.         4.        ]
 [0.         0.         3.79166667]
 [1.         3.79166667 0.        ]]",5.6127954017781745,43.81780460041329,49.43060000219146,[0.44444444 0.44444444 0.11111111],0.1360846381213621,-4.5184502601623535
6,LT-CuTiTe_virtual_88_stropt,"[[0.         0.         4.        ]
 [0.         0.         3.82291667]
 [1.         3.82291667 0.        ]]",5.64258439729133,44.232341109192944,49.874925506484274,[0.44444444 0.44444444 0.11111111],0.1360846381213621,-4.518743991851807
7,LT-CuTiTe_virtual_2_stropt,"[[0.         0.         4.        ]
 [0.         0.         3.80208333]
 [1.         3.80208333 0.        ]]",5.622704006723297,44.039754767709596,49.66245877443289,[0.44444444 0.44444444 0.11111111],0.1360846381213621,-4.518818378448486
8,LT-CuTiTe_virtual_181_stropt,"[[0.      0.      4.     ]
 [0.      0.      3.78125]
 [1.      3.78125 0.     ]]",5.60290800611611,43.70926675202868,49.31217475814479,[0.44444444 0.44444444 0.11111111],0.1360846381213621,-4.518656253814697
9,LT-CuTiTe_virtual_34_stropt,"[[0.     0.     4.    ]
 [0.     0.     3.8125]
 [1.     3.8125 0.    ]]",5.63263370902103,44.07947368106838,49.71210739008941,[0.44444444 0.44444444 0.11111111],0.1360846381213621,-4.5189080238342285
10,LT-CuTiTe_virtual_107_stropt,"[[0.         0.         4.        ]
 [0.         0.         3.79166667]
 [1.         3.79166667 0.        ]]",5.6127954017781745,43.77213725647858,49.38493265825675,[0.44444444 0.44444444 0.11111111],0.1360846381213621,-4.5186238288879395
11,LT-CuTiTe_virtual_191_stropt,"[[0.         0.         4.        ]
 [0.         0.         3.79166667]
 [1.         3.79166667 0.        ]]",5.6127954017781745,43.726422218150894,49.339217619929066,[0.44444444 0.44444444 0.11111111],0.1360846381213621,-4.518930435180664
12,LT-CuTiTe_virtual_384_stropt,"[[0.         0.         4.        ]
 [0.         0.         3.80208333]
 [1.         3.80208333 0.        ]]",5.622704006723297,43.971581731841304,49.5942857385646,[0.44444444 0.44444444 0.11111111],0.1360846381213621,-4.51840353012085
13,LT-CuTiTe_virtual_233_stropt,"[[0.         0.         4.        ]
 [0.         0.         3.79166667]
 [1.         3.79166667 0.        ]]",5.6127954017781745,43.840620433565945,49.45341583534412,[0.44444444 0.44444444 0.11111111],0.1360846381213621,-4.518971920013428
14,LT-CuTiTe_virtual_265_stropt,"[[0.         0.         4.        ]
 [0.         0.         3.79166667]
 [1.         3.79166667 0.        ]]",5.6127954017781745,43.81780460041329,49.43060000219146,[0.44444444 0.44444444 0.11111111],0.1360846381213621,-4.518521308898926
15,LT-CuTiTe_virtual_184_stropt,"[[0.         0.         4.        ]
 [0.         0.         3.80208333]
 [1.         3.80208333 0.        ]]",5.622704006723297,43.99431781491787,49.61702182164117,[0.44444444 0.44444444 0.11111111],0.1360846381213621,-4.518460273742676
16,LT-CuTiTe_virtual_295_stropt,"[[0.     0.     4.    ]
 [0.     0.     3.8125]
 [1.     3.8125 0.    ]]",5.63263370902103,44.14748010928823,49.78011381830926,[0.44444444 0.44444444 0.11111111],0.1360846381213621,-4.518414497375488
17,LT-CuTiTe_virtual_190_stropt,"[[0.         0.         4.        ]
 [0.         0.         3.80208333]
 [1.         3.80208333 0.        ]]",5.622704006723297,43.94883388669147,49.571537893414764,[0.44444444 0.44444444 0.11111111],0.1360846381213621,-4.518648147583008
18,LT-CuTiTe_virtual_69_stropt,"[[0.         0.         4.        ]
 [0.         0.         3.80208333]
 [1.         3.80208333 0.        ]]",5.622704006723297,43.88051959582977,49.503223602553064,[0.44444444 0.44444444 0.11111111],0.1360846381213621,-4.5192742347717285
