                 Step     Time          Energy          fmax
LBFGSLineSearch:    0 16:48:58     -904.986370        0.596114
LBFGSLineSearch:    1 16:49:00     -905.743604        0.232797
LBFGSLineSearch:    2 16:49:02     -905.858250        0.298277
LBFGSLineSearch:    3 16:49:03     -905.927379        0.226413
LBFGSLineSearch:    4 16:49:04     -906.030426        0.274465
LBFGSLineSearch:    5 16:49:05     -906.127413        0.197830
LBFGSLineSearch:    6 16:49:06     -906.148954        0.193510
LBFGSLineSearch:    7 16:49:07     -906.207404        0.173812
LBFGSLineSearch:    8 16:49:08     -906.252775        0.172895
LBFGSLineSearch:    9 16:49:09     -906.266068        0.149515
LBFGSLineSearch:   10 16:49:10     -906.302700        0.152844
LBFGSLineSearch:   11 16:49:11     -906.336366        0.241050
LBFGSLineSearch:   12 16:49:12     -906.381462        0.224202
LBFGSLineSearch:   13 16:49:13     -906.428549        0.184349
LBFGSLineSearch:   14 16:49:14     -906.451209        0.239604
LBFGSLineSearch:   15 16:49:15     -906.512202        0.156365
LBFGSLineSearch:   16 16:49:16     -906.550647        0.234599
LBFGSLineSearch:   17 16:49:17     -906.565572        0.146216
LBFGSLineSearch:   18 16:49:17     -906.576517        0.135448
LBFGSLineSearch:   19 16:49:18     -906.594130        0.205026
LBFGSLineSearch:   20 16:49:19     -906.620763        0.149776
LBFGSLineSearch:   21 16:49:20     -906.653273        0.178118
LBFGSLineSearch:   22 16:49:21     -906.659039        0.082494
                 Step     Time          Energy          fmax
LBFGSLineSearch:    0 16:49:21     -904.972805        0.610487
LBFGSLineSearch:    1 16:49:22     -905.734838        0.232182
LBFGSLineSearch:    2 16:49:23     -905.849797        0.284247
LBFGSLineSearch:    3 16:49:24     -905.917651        0.251348
LBFGSLineSearch:    4 16:49:25     -906.016918        0.266451
LBFGSLineSearch:    5 16:49:26     -906.112851        0.197217
LBFGSLineSearch:    6 16:49:27     -906.134326        0.192488
LBFGSLineSearch:    7 16:49:28     -906.193797        0.171648
LBFGSLineSearch:    8 16:49:29     -906.238993        0.171492
LBFGSLineSearch:    9 16:49:30     -906.253095        0.148677
LBFGSLineSearch:   10 16:49:31     -906.289865        0.150328
LBFGSLineSearch:   11 16:49:32     -906.343420        0.222895
LBFGSLineSearch:   12 16:49:33     -906.367686        0.150732
LBFGSLineSearch:   13 16:49:33     -906.382190        0.201143
LBFGSLineSearch:   14 16:49:34     -906.404116        0.200583
LBFGSLineSearch:   15 16:49:35     -906.443426        0.255779
LBFGSLineSearch:   16 16:49:36     -906.504280        0.149071
LBFGSLineSearch:   17 16:49:37     -906.518200        0.189297
LBFGSLineSearch:   18 16:49:38     -906.556123        0.094060
                 Step     Time          Energy          fmax
LBFGSLineSearch:    0 16:49:39     -904.859797        0.766245
LBFGSLineSearch:    1 16:49:39     -905.640968        0.238471
LBFGSLineSearch:    2 16:49:40     -905.751304        0.278828
LBFGSLineSearch:    3 16:49:41     -905.822002        0.249800
LBFGSLineSearch:    4 16:49:42     -905.925303        0.235928
LBFGSLineSearch:    5 16:49:43     -906.026475        0.177101
LBFGSLineSearch:    6 16:49:44     -906.047894        0.194990
LBFGSLineSearch:    7 16:49:45     -906.112095        0.175722
LBFGSLineSearch:    8 16:49:46     -906.139018        0.170478
LBFGSLineSearch:    9 16:49:47     -906.167081        0.170442
LBFGSLineSearch:   10 16:49:48     -906.185063        0.168368
LBFGSLineSearch:   11 16:49:49     -906.218447        0.152978
LBFGSLineSearch:   12 16:49:50     -906.287456        0.169220
LBFGSLineSearch:   13 16:49:51     -906.311743        0.228916
LBFGSLineSearch:   14 16:49:52     -906.353466        0.160678
