File,Total Energy (eV),Density,PBE Bandgap (eV),GLLB-SC Bandgap (eV),HSE Bandgap (eV),SCAN Bandgap (eV)
Na2Fe2SO4_virtual_386_stropt.cif,-6.6421185,3.021806827478471,1.7434219121932983,1.0302454233169556,0.001490473747253418,0.10470783710479736
Na2Fe2SO4_virtual_168_stropt.cif,-6.6471233,3.0180413432478406,-0.021413803100585938,2.608699321746826,2.0491209030151367,1.4529446363449097
Na2Fe2SO4_virtual_13_stropt.cif,-6.64516,3.0199352979883227,1.8957266807556152,2.7013661861419678,0.07514572143554688,1.568847894668579
Na2Fe2SO4_virtual_104_stropt.cif,-6.6447487,3.0240526476322094,1.8404948711395264,2.542802572250366,2.6282007694244385,1.4425630569458008
Na2Fe2SO4_virtual_127_stropt.cif,-6.6448865,3.014159195796881,1.4657608270645142,2.395632266998291,2.563246965408325,1.6174174547195435
Na2Fe2SO4_virtual_398_stropt.cif,-6.6424327,3.029542693568083,1.440664529800415,0.9966309666633606,2.5765676498413086,1.5134611129760742
Na2Fe2SO4_virtual_126_stropt.cif,-6.6444907,3.0177692188641654,1.5545040369033813,2.5185375213623047,0.07881271839141846,1.6272854804992676
Na2Fe2SO4_virtual_185_stropt.cif,-6.6426954,3.014240691535681,1.9764033555984497,2.580812454223633,0.09203672409057617,1.7293511629104614
Na2Fe2SO4_virtual_250_stropt.cif,-6.646282,3.0203050236869493,0.6670440435409546,2.3916614055633545,2.553795099258423,1.418426513671875
Na2Fe2SO4_virtual_191_stropt.cif,-6.6418176,3.019873696202353,1.525194764137268,2.6234970092773438,0.1317133903503418,1.7572518587112427
Na2Fe2SO4_virtual_371_stropt.cif,-6.644352,3.0219917236799927,1.748533010482788,2.4282689094543457,0.07660436630249023,1.5893372297286987
Na2Fe2SO4_virtual_4_stropt.cif,-6.642946,3.0280367776942465,1.7356444597244263,2.127225399017334,0.1821061372756958,0.017978549003601074
Na2Fe2SO4_virtual_156_stropt.cif,-6.6448526,3.0251550003674685,1.4583066701889038,2.4474844932556152,2.2617135047912598,1.1802310943603516
Na2Fe2SO4_virtual_110_stropt.cif,-6.6452236,3.0194226811991993,1.4155125617980957,1.0196040868759155,2.641345500946045,1.465570092201233
Na2Fe2SO4_virtual_89_stropt.cif,-6.6423645,3.021039710446771,1.853838324546814,0.9998771548271179,0.009218931198120117,1.5324296951293945
Na2Fe2SO4_virtual_321_stropt.cif,-6.6430006,3.021624818097677,1.6577644348144531,0.9876672625541687,0.09154248237609863,-0.0076133012771606445
Na2Fe2SO4_virtual_213_stropt.cif,-6.647148,3.0296912607132254,1.6121079921722412,2.325645923614502,2.748955249786377,1.5479010343551636
Na2Fe2SO4_virtual_264_stropt.cif,-6.645264,3.021765928100121,-0.02405250072479248,1.6595587730407715,0.5574520826339722,0.22405576705932617
Na2Fe2SO4_virtual_34_stropt.cif,-6.6464057,3.0193766778708975,-0.01559746265411377,2.51812744140625,2.580471992492676,1.4078214168548584
Na2Fe2SO4_virtual_139_stropt.cif,-6.645377,3.025440528837227,1.5377544164657593,2.302935838699341,2.6460049152374268,1.5304886102676392
Na2Fe2SO4_virtual_326_stropt.cif,-6.6447196,3.0158620675589454,1.3518109321594238,2.679882526397705,2.652238607406616,1.7091180086135864
Na2Fe2SO4_virtual_376_stropt.cif,-6.6450653,3.0213491663465883,1.3434549570083618,2.2832467555999756,2.6638245582580566,1.5284103155136108
Na2Fe2SO4_virtual_143_stropt.cif,-6.6447396,3.02277405981272,1.448084831237793,2.6202940940856934,1.9197529554367065,1.4918763637542725
Na2Fe2SO4_virtual_197_stropt.cif,-6.642657,3.0131424440864225,2.026914596557617,1.0419921875,0.11951267719268799,0.024571537971496582
Na2Fe2SO4_virtual_100_stropt.cif,-6.6424093,3.0317012506256593,1.8545376062393188,2.281437635421753,5.137920379638672e-05,1.2917824983596802
Na2Fe2SO4_virtual_387_stropt.cif,-6.6430755,3.021433196134344,1.4346814155578613,2.5166611671447754,0.11105167865753174,1.6467567682266235
Na2Fe2SO4_virtual_20_stropt.cif,-6.644888,3.025844026911279,1.6469541788101196,2.39693021774292,0.10525310039520264,1.557532548904419
Na2Fe2SO4_virtual_111_stropt.cif,-6.6410465,3.0173883922046087,1.5985959768295288,2.5330114364624023,0.151236891746521,1.604783535003662
Na2Fe2SO4_virtual_184_stropt.cif,-6.645411,3.0237562299224034,1.9956103563308716,2.495115280151367,2.6074821949005127,1.5242342948913574
Na2Fe2SO4_virtual_107_stropt.cif,-6.6433043,3.0227404642214792,1.665079116821289,2.6155431270599365,0.0859231948852539,1.4305264949798584
Na2Fe2SO4_virtual_335_stropt.cif,-6.6435256,3.017153061907206,1.695044994354248,1.0408356189727783,0.12494480609893799,0.0069408416748046875
Na2Fe2SO4_virtual_181_stropt.cif,-6.644232,3.020057139337987,1.5238133668899536,2.671182155609131,1.2242881059646606,1.624524474143982
Na2Fe2SO4_virtual_399_stropt.cif,-6.6434093,3.017839937692419,1.3784511089324951,2.444270133972168,2.6602120399475098,1.633420467376709
Na2Fe2SO4_virtual_106_stropt.cif,-6.64538,3.0123953826043217,0.13457584381103516,1.3154618740081787,0.0015343427658081055,0.012099504470825195
Na2Fe2SO4_virtual_301_stropt.cif,-6.639968,3.0189572182337425,1.365323543548584,2.691007375717163,2.3485019207000732,1.5996745824813843
Na2Fe2SO4_virtual_359_stropt.cif,-6.6461115,3.023041284469875,1.6595510244369507,2.3460793495178223,0.013417720794677734,1.4928613901138306
