,Name,BondingProfile,MatrixDistance,Unaverageness,BondDiff,Composition,CompDiff,FormationEnergy
0,olivine_virtual_180_stropt,"[[0.   0.   0.   2.   6.  ]
 [0.   0.   0.   1.   6.  ]
 [0.   0.   0.   1.   6.  ]
 [2.   0.5  0.5  0.   4.  ]
 [1.5  0.75 0.75 1.   0.  ]]",6.397699239223078,61.75219294351687,68.14989218273995,[0.07142857 0.07142857 0.14285714 0.57142857 0.14285714],0.08074202360863411,-7.524795055389404
1,olivine_virtual_345_stropt,"[[0.   0.   0.   2.   6.  ]
 [0.   0.   0.   1.   6.  ]
 [0.   0.   0.   1.   6.  ]
 [2.   0.5  0.5  0.   4.  ]
 [1.5  0.75 0.75 1.   0.  ]]",6.397699239223078,61.5250626438798,67.92276188310288,[0.07142857 0.07142857 0.14285714 0.57142857 0.14285714],0.08074202360863411,-7.524827003479004
2,olivine_virtual_45_stropt,"[[0.   0.   0.   2.   6.  ]
 [0.   0.   0.   1.   6.  ]
 [0.   0.   0.   1.   6.  ]
 [2.   0.5  0.5  0.   4.  ]
 [1.5  0.75 0.75 1.   0.  ]]",6.397699239223078,61.557561138606964,67.95526037783004,[0.07142857 0.07142857 0.14285714 0.57142857 0.14285714],0.08074202360863411,-7.524669647216797
3,olivine_virtual_40_stropt,"[[0.   0.   0.   2.   6.  ]
 [0.   0.   0.   1.   6.  ]
 [0.   0.   0.   1.   6.  ]
 [2.   0.5  0.5  0.   4.  ]
 [1.5  0.75 0.75 1.   0.  ]]",6.397699239223078,61.84927916583454,68.24697840505762,[0.07142857 0.07142857 0.14285714 0.57142857 0.14285714],0.08074202360863411,-7.524844646453857
4,olivine_virtual_304_stropt,"[[0.   0.   0.   2.   6.  ]
 [0.   0.   0.   1.   6.  ]
 [0.   0.   0.   1.   6.  ]
 [2.   0.5  0.5  0.   4.  ]
 [1.5  0.75 0.75 1.   0.  ]]",6.397699239223078,61.75219294351687,68.14989218273995,[0.07142857 0.07142857 0.14285714 0.57142857 0.14285714],0.08074202360863411,-7.5248894691467285
5,olivine_virtual_349_stropt,"[[0.   0.   0.   2.   6.  ]
 [0.   0.   0.   1.   6.  ]
 [0.   0.   0.   1.   6.  ]
 [2.   0.5  0.5  0.   4.  ]
 [1.5  0.75 0.75 1.   0.  ]]",6.397699239223078,61.4600141013109,67.85771334053398,[0.07142857 0.07142857 0.14285714 0.57142857 0.14285714],0.08074202360863411,-7.5249528884887695
6,olivine_virtual_270_stropt,"[[0.   0.   0.   2.   6.  ]
 [0.   0.   0.   1.   6.  ]
 [0.   0.   0.   1.   6.  ]
 [2.   0.5  0.5  0.   4.  ]
 [1.5  0.75 0.75 1.   0.  ]]",6.397699239223078,61.622506710887166,68.02020595011024,[0.07142857 0.07142857 0.14285714 0.57142857 0.14285714],0.08074202360863411,-7.524709701538086
7,olivine_virtual_3_stropt,"[[0.   0.   0.   2.   6.  ]
 [0.   0.   0.   1.   6.  ]
 [0.   0.   0.   1.   6.  ]
 [2.   0.5  0.5  0.   4.  ]
 [1.5  0.75 0.75 1.   0.  ]]",6.397699239223078,61.557561138606964,67.95526037783004,[0.07142857 0.07142857 0.14285714 0.57142857 0.14285714],0.08074202360863411,-7.524700164794922
8,olivine_virtual_321_stropt,"[[0.   0.   0.   2.   6.  ]
 [0.   0.   0.   1.   6.  ]
 [0.   0.   0.   1.   6.  ]
 [2.   0.5  0.5  0.   4.  ]
 [1.5  0.75 0.75 1.   0.  ]]",6.397699239223078,61.75219294351687,68.14989218273995,[0.07142857 0.07142857 0.14285714 0.57142857 0.14285714],0.08074202360863411,-7.524894714355469
9,olivine_virtual_15_stropt,"[[0.   0.   0.   2.   6.  ]
 [0.   0.   0.   1.   6.  ]
 [0.   0.   0.   1.   6.  ]
 [2.   0.5  0.5  0.   4.  ]
 [1.5  0.75 0.75 1.   0.  ]]",6.397699239223078,61.75219294351687,68.14989218273995,[0.07142857 0.07142857 0.14285714 0.57142857 0.14285714],0.08074202360863411,-7.524560451507568
10,olivine_virtual_382_stropt,"[[0.   0.   0.   2.   6.  ]
 [0.   0.   0.   1.   6.  ]
 [0.   0.   0.   1.   6.  ]
 [2.   0.5  0.5  0.   4.  ]
 [1.5  0.75 0.75 1.   0.  ]]",6.397699239223078,61.75219294351687,68.14989218273995,[0.07142857 0.07142857 0.14285714 0.57142857 0.14285714],0.08074202360863411,-7.524744033813477
11,olivine_virtual_239_stropt,"[[0.   0.   0.   2.   6.  ]
 [0.   0.   0.   1.   6.  ]
 [0.   0.   0.   1.   6.  ]
 [2.   0.5  0.5  0.   4.  ]
 [1.5  0.75 0.75 1.   0.  ]]",6.397699239223078,61.6549538426016,68.05265308182467,[0.07142857 0.07142857 0.14285714 0.57142857 0.14285714],0.08074202360863411,-7.5249552726745605
12,olivine_virtual_135_stropt,"[[0.   0.   0.   2.   6.  ]
 [0.   0.   0.   1.   6.  ]
 [0.   0.   0.   1.   6.  ]
 [2.   0.5  0.5  0.   4.  ]
 [1.5  0.75 0.75 1.   0.  ]]",6.397699239223078,61.81693403375271,68.21463327297579,[0.07142857 0.07142857 0.14285714 0.57142857 0.14285714],0.08074202360863411,-7.524996757507324
