File,Total Energy (eV),Density,PBE Bandgap (eV),GLLB-SC Bandgap (eV),HSE Bandgap (eV),SCAN Bandgap (eV)
olivine_virtual_180_stropt.cif,-7.524795,3.4528771228461554,-0.012272477149963379,2.209346294403076,-0.008381009101867676,-0.009266257286071777
olivine_virtual_345_stropt.cif,-7.524827,3.4506336552717203,-0.012640118598937988,1.059851884841919,-0.008398294448852539,-0.009159684181213379
olivine_virtual_45_stropt.cif,-7.5246696,3.455459641614828,-0.012050390243530273,2.5125420093536377,-0.00877070426940918,-0.009034872055053711
olivine_virtual_40_stropt.cif,-7.5248446,3.452318094621516,-0.01240837574005127,2.465559959411621,-0.0084456205368042,-0.009056568145751953
olivine_virtual_304_stropt.cif,-7.5248895,3.4503944458335645,-0.012306690216064453,1.7345843315124512,-0.008255720138549805,-0.009025931358337402
olivine_virtual_349_stropt.cif,-7.524953,3.4471939910208085,-0.012933492660522461,0.5763729810714722,-0.008218526840209961,-0.009302258491516113
olivine_virtual_270_stropt.cif,-7.5247097,3.4553080426612413,-0.012267470359802246,2.022963523864746,-0.008612513542175293,-0.009097814559936523
olivine_virtual_3_stropt.cif,-7.5247,3.4547697808672715,-0.012221336364746094,1.0464797019958496,-0.00840604305267334,-0.009204506874084473
olivine_virtual_321_stropt.cif,-7.5248947,3.451110132294437,-0.012561440467834473,2.0752451419830322,-0.008184671401977539,-0.009341597557067871
olivine_virtual_15_stropt.cif,-7.5245605,3.4590268234228194,-0.011532187461853027,2.1885104179382324,-0.008421778678894043,-0.009183883666992188
olivine_virtual_382_stropt.cif,-7.524744,3.455249134626574,-0.01250457763671875,1.696553111076355,-0.008333206176757812,-0.009368538856506348
olivine_virtual_239_stropt.cif,-7.5249553,3.4476782191645645,-0.012931108474731445,0.8108785152435303,-0.008181333541870117,-0.009339451789855957
olivine_virtual_135_stropt.cif,-7.5249968,3.447731480378955,-0.01281273365020752,1.3572163581848145,-0.008460640907287598,-0.009039759635925293
olivine_virtual_136_stropt.cif,-7.524842,3.451307505863421,-0.012721061706542969,1.9746692180633545,-0.008468270301818848,-0.0092543363571167
olivine_virtual_104_stropt.cif,-7.5248127,3.4526104171271568,-0.012252330780029297,1.3884042501449585,-0.008579015731811523,-0.009073376655578613
olivine_virtual_79_stropt.cif,-7.5247717,3.4550583155020473,-0.0123291015625,2.5161075592041016,-0.008262038230895996,-0.009184122085571289
olivine_virtual_90_stropt.cif,-7.5247316,3.4547433012781403,-0.011993646621704102,0.9728732705116272,-0.008548378944396973,-0.009058117866516113
olivine_virtual_4_stropt.cif,-7.5247765,3.4528829967812262,-0.012303471565246582,0.6533843278884888,-0.008709192276000977,-0.009058952331542969
olivine_virtual_67_stropt.cif,-7.524757,3.4526809847733464,-0.012372612953186035,1.1929950714111328,-0.008453369140625,-0.009291291236877441
olivine_virtual_154_stropt.cif,-7.5246844,3.4576595760492457,-0.01239013671875,2.7088499069213867,-0.008210420608520508,-0.009273052215576172
olivine_virtual_329_stropt.cif,-7.5247946,3.4523201725709036,-0.012328863143920898,1.0377206802368164,-0.00862133502960205,-0.008985757827758789
