,Name,BondingProfile,MatrixDistance,Unaverageness,BondDiff,Composition,CompDiff,FormationEnergy
0,Ice-Ih-119913_virtual_350,"[[0.125 1.   ]
 [2.    0.   ]]",0.125,15.491933384829668,15.616933384829668,[0.66666667 0.33333333],0.0,-4.425668239593506
1,Ice-Ih-119913_virtual_445,"[[0.140625 1.      ]
 [2.       0.      ]]",0.140625,16.24807680927192,16.38870180927192,[0.66666667 0.33333333],0.0,-4.329928398132324
2,Ice-Ih-119913_virtual_477,"[[0.13541667 1.        ]
 [2.         0.        ]]",0.13541666666666666,14.966629547095765,15.102046213762431,[0.66666667 0.33333333],0.0,-4.405130386352539
3,Ice-Ih-119913_virtual_787,"[[0.13541667 1.        ]
 [2.         0.        ]]",0.13541666666666666,16.24807680927192,16.38349347593859,[0.66666667 0.33333333],0.0,-4.381695747375488
4,Ice-Ih-119913_virtual_715,"[[0.14583333 1.        ]
 [2.         0.        ]]",0.14583333333333334,14.832396974191326,14.97823030752466,[0.66666667 0.33333333],0.0,-4.423611640930176
5,Ice-Ih-119913_virtual_299,"[[0.15104167 1.        ]
 [2.         0.        ]]",0.15104166666666666,15.620499351813308,15.771541018479974,[0.66666667 0.33333333],0.0,-4.3654704093933105
6,Ice-Ih-119913_virtual_358,"[[0.10416667 1.        ]
 [2.         0.        ]]",0.10416666666666667,14.89966442575134,15.003831092418006,[0.66666667 0.33333333],0.0,-4.44427490234375
7,Ice-Ih-119913_virtual_762,"[[0.15104167 1.        ]
 [2.         0.        ]]",0.15104166666666666,16.431676725154983,16.58271839182165,[0.66666667 0.33333333],0.0,-4.381505012512207
8,Ice-Ih-119913_virtual_401,"[[0.13020833 1.        ]
 [2.         0.        ]]",0.13020833333333334,15.297058540778355,15.42726687411169,[0.66666667 0.33333333],0.0,-4.4291157722473145
9,Ice-Ih-119913_virtual_647,"[[0.109375 1.      ]
 [2.       0.      ]]",0.109375,15.0996688705415,15.2090438705415,[0.66666667 0.33333333],0.0,-4.436812877655029
10,Ice-Ih-119913_virtual_376,"[[0.11979167 1.        ]
 [2.         0.        ]]",0.11979166666666667,16.0,16.119791666666668,[0.66666667 0.33333333],0.0,-4.368865966796875
