,Name,BondingProfile,MatrixDistance,Unaverageness,BondDiff,Composition,CompDiff,FormationEnergy
0,Ice-Ih-119913_virtual_366_stropt,"[[0.03645833 0.96354167]
 [1.92708333 0.07291667]]",0.11529137302697222,9.16515138991168,9.280442762938652,[0.66666667 0.33333333],0.0,-5.09176778793335
1,Ice-Ih-119913_virtual_15_stropt,"[[0.02083333 0.97395833]
 [1.94791667 0.07291667]]",0.09561229036815526,7.615773105863909,7.711385396232064,[0.66666667 0.33333333],0.0,-5.107825756072998
2,Ice-Ih-119913_virtual_284_stropt,"[[0.03125    0.96614583]
 [1.93229167 0.08333333]]",0.11683976184465909,8.0,8.116839761844659,[0.66666667 0.33333333],0.0,-5.094966888427734
3,Ice-Ih-119913_virtual_510_stropt,"[[0.02083333 0.97395833]
 [1.94791667 0.0625    ]]",0.08792678654236522,7.3484692283495345,7.4363960148918995,[0.66666667 0.33333333],0.0,-5.109924793243408
4,Ice-Ih-119913_virtual_578_stropt,"[[0.02083333 0.9765625 ]
 [1.953125   0.03125   ]]",0.06447613751635389,6.0,6.064476137516354,[0.66666667 0.33333333],0.0,-5.1238789558410645
5,Ice-Ih-119913_virtual_845_stropt,"[[0.02083333 0.9765625 ]
 [1.953125   0.03125   ]]",0.06447613751635389,6.928203230275509,6.992679367791863,[0.66666667 0.33333333],0.0,-5.121774673461914
6,Ice-Ih-119913_virtual_447_stropt,"[[0.01041667 0.98177083]
 [1.96354167 0.05208333]]",0.06695291735511684,7.0710678118654755,7.138020729220592,[0.66666667 0.33333333],0.0,-5.11461877822876
7,Ice-Ih-119913_virtual_998_stropt,"[[0.02604167 0.96354167]
 [1.92708333 0.0625    ]]",0.10597390598633238,7.615773105863909,7.721747011850241,[0.66666667 0.33333333],0.0,-5.107963562011719
8,Ice-Ih-119913_virtual_239_stropt,"[[0.02604167 0.96614583]
 [1.93229167 0.05208333]]",0.09550583760881373,7.874007874011811,7.969513711620625,[0.66666667 0.33333333],0.0,-5.108556270599365
9,Ice-Ih-119913_virtual_759_stropt,"[[0.03125    0.96614583]
 [1.93229167 0.07291667]]",0.10965366287201712,7.615773105863909,7.725426768735926,[0.66666667 0.33333333],0.0,-5.100397109985352
10,Ice-Ih-119913_virtual_390_stropt,"[[0.02083333 0.97395833]
 [1.94791667 0.05208333]]",0.0808550765430209,7.615773105863909,7.696628182406929,[0.66666667 0.33333333],0.0,-5.113476753234863
11,Ice-Ih-119913_virtual_684_stropt,"[[0.02604167 0.96875   ]
 [1.9375     0.05208333]]",0.09095963123215095,7.483314773547883,7.574274404780033,[0.66666667 0.33333333],0.0,-5.112845420837402
12,Ice-Ih-119913_virtual_634_stropt,"[[0.015625   0.98177083]
 [1.96354167 0.05208333]]",0.06795827265989521,6.782329983125268,6.850288255785164,[0.66666667 0.33333333],0.0,-5.117862701416016
13,Ice-Ih-119913_virtual_26_stropt,"[[0.03645833 0.9609375 ]
 [1.921875   0.03125   ]]",0.09967530838023249,7.3484692283495345,7.448144536729767,[0.66666667 0.33333333],0.0,-5.097537994384766
14,Ice-Ih-119913_virtual_615_stropt,"[[0.01041667 0.98697917]
 [1.97395833 0.03125   ]]",0.04396339327118269,5.656854249492381,5.700817642763563,[0.66666667 0.33333333],0.0,-5.13027286529541
15,Ice-Ih-119913_virtual_968_stropt,"[[0.015625   0.984375  ]
 [1.96875    0.07291667]]",0.08235098073355156,7.211102550927978,7.293453531661529,[0.66666667 0.33333333],0.0,-5.098049640655518
16,Ice-Ih-119913_virtual_778_stropt,"[[0.03125    0.96354167]
 [1.92708333 0.05208333]]",0.10166261091637056,8.0,8.101662610916371,[0.66666667 0.33333333],0.0,-5.094189643859863
17,Ice-Ih-119913_virtual_650_stropt,"[[0.02604167 0.97395833]
 [1.94791667 0.03125   ]]",0.07103219633846794,6.164414002968976,6.235446199307444,[0.66666667 0.33333333],0.0,-5.114107608795166
18,Ice-Ih-119913_virtual_125_stropt,"[[0.01041667 0.98697917]
 [1.97395833 0.04166667]]",0.05188765324263357,6.164414002968976,6.21630165621161,[0.66666667 0.33333333],0.0,-5.129379749298096
19,Ice-Ih-119913_virtual_674_stropt,"[[0.00520833 0.9921875 ]
 [1.984375   0.01041667]]",0.02099546288619414,4.69041575982343,4.711411222709624,[0.66666667 0.33333333],0.0,-5.139204025268555
20,Ice-Ih-119913_virtual_884_stropt,"[[0.015625   0.9765625 ]
 [1.953125   0.07291667]]",0.09114583333333333,7.3484692283495345,7.439615061682868,[0.66666667 0.33333333],0.0,-5.105926036834717
21,Ice-Ih-119913_virtual_997_stropt,"[[0.02083333 0.9765625 ]
 [1.953125   0.04166667]]",0.07011933342623052,6.782329983125268,6.852449316551499,[0.66666667 0.33333333],0.0,-5.120100975036621
