File,Total Energy (eV),Density,PBE Bandgap (eV),GLLB-SC Bandgap (eV),HSE Bandgap (eV),SCAN Bandgap (eV)
HEA_virtual_323_stropt.cif,-9.797691,10.114323409294103,-0.006936192512512207,0.42956113815307617,-0.007355093955993652,0.49664306640625
HEA_virtual_178_stropt.cif,-9.794337,10.197234320623194,-0.0067598819732666016,0.4321709871292114,-0.007471203804016113,0.49962806701660156
HEA_virtual_233_stropt.cif,-9.79944,10.133190644892046,-0.006750822067260742,0.4339636564254761,-0.007366776466369629,0.5110801458358765
HEA_virtual_232_stropt.cif,-9.796404,10.140033882018136,-0.0068160295486450195,0.43056297302246094,-0.007405757904052734,0.5117183923721313
HEA_virtual_340_stropt.cif,-9.797052,10.139324517271774,-0.0067969560623168945,0.42981934547424316,-0.0073049068450927734,0.5028591156005859
HEA_virtual_52_stropt.cif,-9.799682,10.126192084892347,-0.006792664527893066,0.4287682771682739,-0.007392287254333496,0.48094284534454346
HEA_virtual_35_stropt.cif,-9.794022,10.147257956066682,-0.006776571273803711,0.43239831924438477,-0.007730245590209961,0.5036944150924683
HEA_virtual_0_stropt.cif,-9.796333,10.164800788194164,-0.006902098655700684,0.4302555322647095,-0.007411479949951172,0.5047391653060913
HEA_virtual_324_stropt.cif,-9.793749,10.15803855381725,-0.006919980049133301,0.42849743366241455,-0.007510781288146973,0.5029205083847046
HEA_virtual_100_stropt.cif,-9.794033,10.127027018792214,-0.006964921951293945,0.43241143226623535,-0.007217526435852051,0.4997270107269287
HEA_virtual_26_stropt.cif,-9.794045,10.191497203360475,-0.0067948102951049805,0.42869067192077637,-0.007384777069091797,0.4977397918701172
HEA_virtual_331_stropt.cif,-9.797693,10.141011515164616,-0.0067871809005737305,0.43361175060272217,-0.007300376892089844,0.509645938873291
HEA_virtual_394_stropt.cif,-9.794602,10.12894325119778,-0.006832480430603027,0.4301062822341919,-0.007275223731994629,0.4998602867126465
HEA_virtual_112_stropt.cif,-9.789811,10.13008265594147,-0.006837129592895508,0.430139422416687,-0.007470965385437012,0.4978373050689697
HEA_virtual_251_stropt.cif,-9.794233,10.142416166812493,-0.006748199462890625,0.4320821762084961,-0.00751948356628418,0.5098369121551514
HEA_virtual_399_stropt.cif,-9.804094,10.119801246614253,-0.006755709648132324,0.42881810665130615,-0.007394313812255859,0.49719691276550293
HEA_virtual_92_stropt.cif,-9.801121,10.206366726672918,-0.006750226020812988,0.42922723293304443,-0.007584929466247559,0.49340999126434326
HEA_virtual_297_stropt.cif,-9.791573,10.200306057268026,-0.006875872611999512,0.4351174831390381,-0.007316946983337402,0.5073118209838867
HEA_virtual_160_stropt.cif,-9.795282,10.120966077917059,-0.006749987602233887,0.42849040031433105,-0.007271409034729004,0.48818206787109375
HEA_virtual_67_stropt.cif,-9.797675,10.129390518002083,-0.0068476200103759766,0.4291900396347046,-0.007318019866943359,0.5041674375534058
HEA_virtual_22_stropt.cif,-9.794234,10.12609664629929,-0.0070497989654541016,0.4273267984390259,-0.007196545600891113,0.4937143325805664
HEA_virtual_17_stropt.cif,-9.79111,10.130811101015261,-0.0067865848541259766,0.4343221187591553,-0.007580995559692383,0.5151479244232178
HEA_virtual_196_stropt.cif,-9.79345,10.14967023916933,-0.006738901138305664,0.4315682649612427,-0.007389664649963379,0.5114500522613525
