session,run_id,filename,formula,elements,supercell size,image distance (target),image distance (actual),sample size,relaxer,connectivity_done,properties_done,provenance
S.1.basic5,S.1.1,DoublePerov,Cs1Sn0.5Pb0.5I3,"['Cs', 'Sn', 'Pb', 'I']","[3, 3, 3]",15.0,17.77485,400,CHGNET,True,True,Andy
S.1.basic5,S.1.2,Gehlenite,Ca2Al2SiO7,"['Ca', 'Al' ,'Si', 'O']","[2, 2, 3]",15.0,15.267,400,CHGNET,True,True,Ohkotnikov
S.1.basic5,S.1.3,Hanada-P1,In4.8Cu1.6Se8,"['In', 'Cu', 'Se']","[3, 3, 2]",15.0,17.28,400,CHGNET,True,True,Hanada
S.1.basic5,S.1.4,Verkelis,In2.68Te4,"['In', 'Te']","[3, 3, 3]",15.0,18.489,400,CHGNET,True,True,ICSD
S.1.basic5,S.1.5,Spinel-113,V10.6672Zn10.72O32,"['V', 'Zn', 'O']","[2, 2, 2]",15.0,16.794,400,CHGNET,True,True,Andy
S.10.B7-N700,S.10.1,HEA,Hf0.4Zr0.4Ta0.4Ti0.4Mo0.4H3,"['Hf', 'Zr', 'Ta', 'Ti', 'Mo', 'H']","[5, 5, 4]",15.0,16.445,700,CHGNET,False,True,ICSD
S.10.B7-N700,S.10.2,DoublePerov,Cs1Sn0.5Pb0.5I3,"['Cs', 'Sn', 'Pb', 'I']","[3, 3, 3]",15.0,17.77485,700,CHGNET,False,True,Andy
S.10.B7-N700,S.10.3,Gehlenite,Ca2Al2SiO7,"['Ca', 'Al', 'Si', 'O']","[2, 2, 3]",15.0,15.267,700,CHGNET,False,True,Okhotnikov
S.10.B7-N700,S.10.4,Spinel,V10.6672Zn10.72O32,"['V', 'Zn', 'O']","[2, 2, 2]",15.0,16.794,700,CHGNET,False,True,Andy
S.10.B7-N700,S.10.5,Verkelis,In2.68Te4,"['In', 'Te']","[3, 3, 3]",15.0,18.489,700,CHGNET,False,True,ICSD
S.10.B7-N700,S.10.6,Hanada,In4.8Cu1.6Se8,"['In', 'Cu', 'Se']","[3, 3, 2]",15.0,17.28,700,CHGNET,False,True,Andy
S.11.ice-112,S.11.1,Ice-Ih-119913,H2O,"['H+', 'O2-']","[1, 1, 2]",4.4948,4.4948,2,CHGNET,False,False,ICSD
S.12.CoFe-N100,S.12.1,CoFe,Fe1.4Co0.6,"['Fe', 'Co']","[4, 4, 4]",11.4604,11.4604,100,CHGNET,False,True,ICSD
S.13.CoFe-N400,S.13.1,CoFe,Fe1.4Co0.6,"['Fe', 'Co']","[4, 4, 4]",11.4604,11.4604,400,CHGNET,False,True,ICSD
S.14.CoFe-N700,S.14.1,CoFe,Fe1.4Co0.6,"['Fe', 'Co']","[4, 4, 4]",11.4604,11.4604,700,CHGNET,False,True,ICSD
S.15.CoFe-N1000,S.15.1,CoFe,Fe1.4Co0.6,"['Fe', 'Co']","[4, 4, 4]",11.4604,11.4604,1000,CHGNET,False,False,ICSD
S.16.CoFe-N1300,S.16.1,CoFe,Fe1.4Co0.6,"['Fe', 'Co']","[4, 4, 4]",11.4604,11.4604,1300,CHGNET,False,True,ICSD
S.19.Verk-N1300,S.19.1,Verkelis,In2.68Te4,"['In', 'Te']","[3, 3, 3]",15.0,18.489,1300,CHGNET,True,True,ICSD
S.2.HEA,S.2.1,High-entropy_CollCode64141,Hf0.11Zr0.11Ti0.11Nb0.10998Re0.56,"['Hf', 'Zr', 'Ti', 'Nb', 'Re']","[3, 3, 2]",15.0,15.7662,400,CHGNET,False,True,ICSD
